Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-09,37.8,38.48,37.72,37.72,-1,-1,0,0
2023-02-10,37.8,37.92,37.18,37.6,-1,-1,0,0
2023-02-13,37.84,37.84,37.5,37.68,-1,-1,0,0
2023-02-14,37.8,38.04,37.2,37.38,-1,-1,0,0
2023-02-15,37.5,37.5,36.82,36.82,-1,-1,0,0
2023-02-16,36.88,37.62,36.88,37.46,-1,-1,0,0
2023-02-17,37.04,37.24,36.9,36.9,-1,-1,0,0
2023-02-20,37.16,37.34,36.8,36.8,-1,-1,0,0
2023-02-21,36.78,36.94,36.68,36.72,-1,-1,0,0
2023-02-22,36.7,36.78,36.3,36.3,-1,-1,0,0
2023-02-23,36.8,37.14,36.6,36.7,-1,-1,0,0
2023-02-24,36.8,37.18,36.72,37.1,-1,-1,0,0
2023-02-27,37.12,37.18,36.82,36.98,-1,-1,0,0
2023-02-28,36.96,37.2,36.8,37.12,-1,-1,0,0
2023-03-01,37.2,37.62,37.16,37.62,-1,-1,0,0
2023-03-02,37.64,37.7,37.14,37.7,-1,-1,0,0
2023-03-03,37.4,37.52,37.2,37.42,-1,-1,0,0
2023-03-06,37.4,37.86,37.16,37.8,-1,-1,0,0
2023-03-07,37.5,37.86,37.5,37.82,-1,-1,0,0
2023-03-08,37.56,37.88,37.22,37.22,-1,-1,0,0
2023-03-09,37.6,37.78,37.46,37.72,-1,-1,0,0
2023-03-10,37.76,37.76,37.1,37.56,-1,-1,0,0
2023-03-13,37.1,37.46,36.5,37.1,-1,-1,0,0
2023-03-14,37.0,37.2,36.66,36.9,-1,-1,0,0
2023-03-15,36.9,36.98,35.8,35.86,-1,-1,0,0
2023-03-16,36.0,36.38,35.88,36.3,-1,-1,0,0
2023-03-17,37.0,37.0,35.76,35.8,-1,-1,0,0
2023-03-20,35.8,36.16,35.4,35.8,-1,-1,0,0
2023-03-21,36.2,36.82,36.2,36.52,-1,-1,0,0
2023-03-22,36.8,36.8,36.42,36.5,-1,-1,0,0
2023-03-23,36.8,36.8,36.2,36.4,-1,-1,0,0
2023-03-24,36.2,36.2,35.62,35.68,-1,-1,0,0
2023-03-27,36.0,36.12,35.68,35.96,-1,-1,0,0
2023-03-28,35.8,36.0,35.64,35.7,-1,-1,0,0
2023-03-29,35.96,35.96,35.7,35.7,-1,-1,0,0
2023-03-30,35.7,35.98,35.64,35.66,-1,-1,0,0
2023-03-31,35.7,36.0,35.66,35.94,-1,-1,0,0
2023-04-03,35.94,36.12,35.32,35.54,-1,-1,0,0
2023-04-04,35.7,35.8,35.64,35.68,-1,-1,0,0
2023-04-05,35.86,35.86,35.1,35.34,-1,-1,0,0
2023-04-06,35.48,35.5,35.06,35.14,-1,-1,0,0
2023-04-11,35.6,35.98,35.6,35.8,-1,-1,0,0
2023-04-12,35.8,36.18,35.8,36.04,-1,-1,0,0
2023-04-13,36.06,36.18,35.9,36.08,-1,-1,0,0
2023-04-14,36.2,36.26,36.06,36.1,-1,-1,0,0
2023-04-17,36.2,36.36,36.14,36.18,-1,-1,0,0
2023-04-18,36.2,36.36,36.16,36.3,-1,-1,0,0
2023-04-19,36.3,36.44,36.2,36.3,-1,-1,0,0
2023-04-20,36.2,36.82,36.2,36.3,-1,-1,0,0
2023-04-21,36.5,36.64,36.48,36.58,-1,-1,0,0
2023-04-24,36.5,36.6,36.32,36.46,-1,-1,0,0
2023-04-25,36.58,36.58,36.1,36.1,-1,-1,0,0
2023-04-26,36.1,36.36,36.0,36.02,-1,-1,0,0
2023-04-27,36.06,36.54,36.06,36.28,-1,-1,0,0
2023-04-28,36.28,36.42,36.08,36.16,-1,-1,0,0
2023-05-02,36.34,36.7,36.22,36.24,-1,-1,0,0
2023-05-04,36.44,36.6,36.24,36.4,-1,-1,0,0
2023-05-05,36.4,36.5,36.24,36.34,-1,-1,0,0
2023-05-08,36.5,36.98,36.36,36.94,-1,-1,0,0
2023-05-09,36.94,37.48,36.76,36.98,-1,-1,0,0
2023-05-10,37.0,37.28,36.9,37.24,-1,-1,0,0
2023-05-11,37.24,37.46,36.84,36.96,-1,-1,0,0
2023-05-12,36.9,37.1,36.58,36.88,-1,-1,0,0
2023-05-15,36.6,37.1,36.6,37.04,-1,-1,0,0
2023-05-16,37.02,37.36,36.72,36.9,-1,-1,0,0
2023-05-17,37.0,37.14,36.6,36.74,-1,-1,0,0
2023-05-18,37.0,37.12,36.62,36.72,-1,-1,0,0
2023-05-19,37.08,37.2,36.9,36.9,-1,-1,0,0
2023-05-22,37.14,37.46,37.0,37.4,-1,-1,0,0
2023-05-23,37.46,37.8,37.38,37.78,-1,-1,0,0
2023-05-24,37.5,37.62,37.04,37.26,-1,-1,0,0
2023-05-25,37.26,37.42,37.02,37.18,-1,-1,0,0
2023-05-26,37.2,38.0,37.2,37.9,-1,-1,0,0
2023-05-29,37.9,38.38,37.9,38.16,-1,-1,0,0
2023-05-30,38.16,38.18,37.9,38.08,-1,-1,0,0
2023-05-31,38.0,38.54,37.56,38.1,-1,-1,0,0
2023-06-01,38.1,38.3,38.02,38.2,-1,-1,0,0
2023-06-02,38.28,38.46,38.2,38.44,-1,-1,0,0
2023-06-05,38.3,38.6,38.0,38.08,-1,-1,0,0
2023-06-06,38.24,38.36,38.08,38.22,-1,-1,0,0
2023-06-07,38.16,38.34,38.02,38.1,-1,-1,0,0
2023-06-09,38.42,38.42,38.1,38.4,-1,-1,0,0
2023-06-12,38.42,38.7,38.2,38.4,-1,-1,0,0
2023-06-13,38.68,38.68,38.14,38.3,-1,-1,0,0
2023-06-14,38.12,38.68,38.12,38.68,-1,-1,0,0
2023-06-15,38.6,38.8,38.24,38.52,-1,-1,0,0
2023-06-16,38.52,38.68,38.3,38.54,-1,-1,0,0
2023-06-19,38.58,38.74,38.34,38.34,-1,-1,0,0
2023-06-20,38.4,38.52,37.94,38.24,-1,-1,0,0
2023-06-21,38.22,38.3,38.06,38.1,-1,-1,0,0
2023-06-22,38.12,38.42,38.1,38.3,-1,-1,0,0
2023-06-23,38.34,38.36,37.86,38.04,-1,-1,0,0
2023-06-26,37.54,37.94,37.5,37.66,-1,-1,0,0
2023-06-27,37.66,37.82,37.5,37.5,-1,-1,0,0
2023-06-28,37.52,37.76,37.52,37.58,-1,-1,0,0
2023-06-29,37.58,37.9,37.5,37.6,-1,-1,0,0
2023-06-30,37.78,38.06,37.4,38.06,-1,-1,0,0
2023-07-03,38.02,38.58,37.7,38.44,-1,-1,0,0
2023-07-04,38.44,39.06,38.4,39.0,-1,-1,0,0
2023-07-05,39.0,39.28,38.8,38.8,-1,-1,0,0
2023-07-06,38.94,39.18,38.62,39.08,-1,-1,0,0
2023-07-07,39.08,39.38,39.04,39.32,-1,-1,0,0
2023-07-10,39.34,39.34,38.78,38.78,-1,-1,0,0
2023-07-11,39.0,39.2,38.86,39.08,-1,-1,0,0
2023-07-12,39.1,39.4,38.92,39.26,-1,-1,0,0
2023-07-13,39.4,39.42,39.28,39.42,-1,-1,0,0
2023-07-14,39.42,39.56,39.26,39.42,-1,-1,0,0
2023-07-17,39.42,40.36,39.42,40.14,-1,-1,0,0
2023-07-18,40.28,40.5,39.9,40.14,-1,-1,0,0
2023-07-19,40.2,40.78,40.2,40.54,-1,-1,0,0
2023-07-20,40.6,40.74,40.0,40.42,-1,-1,0,0
2023-07-21,37.86,38.84,37.86,38.2,-1,-1,0,0
2023-07-24,38.2,38.2,37.9,38.1,-1,-1,0,0
2023-07-25,38.2,38.2,37.9,37.9,-1,-1,0,0
2023-07-26,37.9,37.96,37.58,37.58,-1,-1,0,0
2023-07-27,37.8,37.9,37.34,37.56,-1,-1,0,0
2023-07-28,37.5,38.04,37.5,37.88,-1,-1,0,0
2023-07-31,37.88,38.2,37.8,38.02,-1,-1,0,0
2023-08-01,38.02,38.3,37.9,38.08,-1,-1,0,0
2023-08-02,38.0,38.0,37.58,37.58,-1,-1,0,0
2023-08-03,37.58,37.84,37.48,37.6,-1,-1,0,0
2023-08-04,38.0,38.16,37.7,37.76,-1,-1,0,0
2023-08-07,37.76,37.76,37.02,37.18,-1,-1,0,0
2023-08-08,37.3,37.48,36.82,36.82,-1,-1,0,0
2023-08-09,36.82,37.28,36.8,36.8,-1,-1,0,0
2023-08-10,36.9,37.18,36.84,36.88,-1,-1,0,0
2023-08-11,36.86,36.86,36.54,36.86,-1,-1,0,0
2023-08-14,36.8,36.88,36.34,36.58,-1,-1,0,0
2023-08-16,36.5,36.62,36.22,36.22,-1,-1,0,0
2023-08-17,36.2,36.66,36.2,36.44,-1,-1,0,0
2023-08-18,36.4,36.66,36.18,36.66,-1,-1,0,0
2023-08-21,36.8,36.86,36.52,36.52,-1,-1,0,0
2023-08-22,36.6,36.72,36.4,36.44,-1,-1,0,0
2023-08-23,36.44,36.68,36.24,36.66,-1,-1,0,0
2023-08-24,36.4,36.7,36.4,36.4,-1,-1,0,0
2023-08-25,36.58,36.94,36.32,36.94,-1,-1,0,0
2023-08-28,36.82,37.08,36.76,36.94,-1,-1,0,0
2023-08-29,36.74,37.2,36.74,37.02,-1,-1,0,0
2023-08-30,37.12,37.2,36.82,37.04,-1,-1,0,0
2023-08-31,36.86,37.06,36.72,36.72,-1,-1,0,0
