Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-04,3.62,3.63,3.485,3.485,-1,-1,0,0
2023-05-05,3.505,3.595,3.255,3.355,-1,-1,0,0
2023-05-08,3.355,3.55,3.355,3.405,-1,-1,0,0
2023-05-09,3.45,3.495,3.38,3.495,-1,-1,0,0
2023-05-10,3.525,3.525,3.46,3.5,-1,-1,0,0
2023-05-11,3.54,3.58,3.51,3.57,-1,-1,0,0
2023-05-12,3.57,3.62,3.57,3.62,-1,-1,0,0
2023-05-15,3.625,3.675,3.605,3.675,-1,-1,0,0
2023-05-16,3.63,3.695,3.605,3.655,-1,-1,0,0
2023-05-17,3.635,3.68,3.565,3.63,-1,-1,0,0
2023-05-18,3.735,3.78,3.68,3.7,-1,-1,0,0
2023-05-19,3.7,3.795,3.655,3.795,-1,-1,0,0
2023-05-22,3.77,3.805,3.7,3.8,-1,-1,0,0
2023-05-23,3.8,3.94,3.8,3.94,-1,-1,0,0
2023-05-24,3.9,3.9,3.83,3.84,-1,-1,0,0
2023-05-25,3.965,3.97,3.85,3.9,-1,-1,0,0
2023-05-26,3.86,3.91,3.86,3.89,-1,-1,0,0
2023-05-29,3.885,3.9,3.835,3.86,-1,-1,0,0
2023-05-30,3.855,3.915,3.83,3.875,-1,-1,0,0
2023-05-31,3.87,3.875,3.735,3.86,-1,-1,0,0
2023-06-01,3.86,3.86,3.66,3.725,-1,-1,0,0
2023-06-02,3.85,3.95,3.85,3.94,-1,-1,0,0
2023-06-05,3.96,4.16,3.96,4.09,-1,-1,0,0
2023-06-06,4.17,4.175,4.02,4.065,-1,-1,0,0
2023-06-07,4.1,4.1,3.945,4.05,-1,-1,0,0
2023-06-09,4.085,4.1,4.005,4.09,-1,-1,0,0
2023-06-12,4.08,4.08,4.045,4.075,-1,-1,0,0
2023-06-13,4.07,4.08,3.97,3.97,-1,-1,0,0
2023-06-14,3.975,4.095,3.97,4.095,-1,-1,0,0
2023-06-15,4.1,4.1,3.97,4.09,-1,-1,0,0
2023-06-16,4.1,4.12,4.03,4.08,-1,-1,0,0
2023-06-19,4.07,4.14,4.07,4.11,-1,-1,0,0
2023-06-20,4.075,4.11,4.055,4.09,-1,-1,0,0
2023-06-21,4.09,4.09,4.055,4.07,-1,-1,0,0
2023-06-22,4.09,4.15,4.065,4.09,-1,-1,0,0
2023-06-23,4.09,4.15,4.055,4.055,-1,-1,0,0
2023-06-26,4.055,4.135,3.94,3.94,-1,-1,0,0
2023-06-27,3.98,4.1,3.92,4.08,-1,-1,0,0
2023-06-28,4.2,4.26,4.185,4.205,-1,-1,0,0
2023-06-29,4.21,4.245,4.17,4.23,-1,-1,0,0
2023-06-30,4.23,4.28,4.12,4.26,-1,-1,0,0
2023-07-03,4.3,4.495,4.3,4.495,-1,-1,0,0
2023-07-04,4.5,4.83,4.495,4.75,-1,-1,0,0
2023-07-05,4.78,4.93,4.61,4.68,-1,-1,0,0
2023-07-06,4.68,4.74,4.55,4.71,-1,-1,0,0
2023-07-07,4.71,4.8,4.62,4.795,-1,-1,0,0
2023-07-10,4.8,4.895,4.77,4.85,-1,-1,0,0
2023-07-11,4.87,4.915,4.8,4.915,-1,-1,0,0
2023-07-12,4.9,4.915,4.835,4.85,-1,-1,0,0
2023-07-13,4.565,4.565,4.39,4.44,-1,-1,0,0
2023-07-14,4.44,4.795,4.43,4.68,-1,-1,0,0
2023-07-17,4.67,5.0,4.67,4.825,-1,-1,0,0
2023-07-18,4.83,4.9,4.83,4.875,-1,-1,0,0
2023-07-19,4.85,4.875,4.75,4.785,-1,-1,0,0
2023-07-20,4.79,4.79,4.61,4.7,-1,-1,0,0
2023-07-21,4.7,4.815,4.625,4.81,-1,-1,0,0
2023-07-24,4.9,4.95,4.46,4.565,-1,-1,0,0
2023-07-25,4.62,4.62,4.52,4.59,-1,-1,0,0
2023-07-26,4.64,4.64,4.46,4.46,-1,-1,0,0
2023-07-27,4.46,4.7,4.46,4.69,-1,-1,0,0
2023-07-28,4.72,4.72,4.62,4.695,-1,-1,0,0
2023-07-31,4.695,4.9,4.69,4.895,-1,-1,0,0
2023-08-01,4.9,4.94,4.83,4.9,-1,-1,0,0
2023-08-02,4.87,4.87,4.71,4.71,-1,-1,0,0
2023-08-03,4.7,4.74,4.635,4.635,-1,-1,0,0
2023-08-04,4.635,4.7,4.63,4.68,-1,-1,0,0
2023-08-07,4.65,4.65,4.55,4.61,-1,-1,0,0
2023-08-08,4.55,4.635,4.55,4.585,-1,-1,0,0
2023-08-09,4.57,4.685,4.56,4.605,-1,-1,0,0
2023-08-10,4.635,4.67,4.57,4.66,-1,-1,0,0
2023-08-11,4.66,4.87,4.59,4.87,-1,-1,0,0
2023-08-14,4.805,4.85,4.675,4.675,-1,-1,0,0
2023-08-16,4.685,4.79,4.61,4.64,-1,-1,0,0
2023-08-17,4.61,4.7,4.61,4.63,-1,-1,0,0
2023-08-18,4.65,4.79,4.615,4.735,-1,-1,0,0
2023-08-21,4.7,4.8,4.65,4.75,-1,-1,0,0
2023-08-22,4.75,4.75,4.63,4.68,-1,-1,0,0
2023-08-23,4.68,4.7,4.57,4.605,-1,-1,0,0
2023-08-24,4.6,4.69,4.6,4.65,-1,-1,0,0
2023-08-25,4.66,4.69,4.61,4.67,-1,-1,0,0
2023-08-28,4.64,4.67,4.64,4.67,-1,-1,0,0
2023-08-29,4.665,4.73,4.625,4.67,-1,-1,0,0
2023-08-30,4.65,4.7,4.65,4.67,-1,-1,0,0
2023-08-31,4.68,4.73,4.645,4.73,-1,-1,0,0
