Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-12,13.56,13.74,13.48,13.68,-1,-1,0,0
2022-09-13,13.46,13.72,13.46,13.6,-1,-1,0,0
2022-09-14,13.4,13.6,13.38,13.52,-1,-1,0,0
2022-09-15,13.52,13.64,13.52,13.62,-1,-1,0,0
2022-09-16,13.6,13.62,13.04,13.62,-1,-1,0,0
2022-09-19,13.4,13.6,13.4,13.54,-1,-1,0,0
2022-09-20,13.52,13.62,13.52,13.52,-1,-1,0,0
2022-09-21,13.48,13.7,13.48,13.56,-1,-1,0,0
2022-09-22,13.62,13.76,13.62,13.76,-1,-1,0,0
2022-09-23,13.78,13.9,13.6,13.8,-1,-1,0,0
2022-09-26,13.7,13.86,13.52,13.7,-1,-1,0,0
2022-09-27,13.56,13.76,13.56,13.76,-1,-1,0,0
2022-09-28,13.9,14.08,13.84,14.08,-1,-1,0,0
2022-09-29,14.08,14.12,13.7,13.72,-1,-1,0,0
2022-09-30,13.8,13.8,13.64,13.72,-1,-1,0,0
2022-10-03,13.8,13.8,13.12,13.78,-1,-1,0,0
2022-10-04,13.64,13.78,13.52,13.78,-1,-1,0,0
2022-10-05,13.78,13.78,13.54,13.58,-1,-1,0,0
2022-10-06,13.56,13.68,13.5,13.5,-1,-1,0,0
2022-10-07,13.5,13.64,13.42,13.44,-1,-1,0,0
2022-10-10,13.42,13.5,13.4,13.4,-1,-1,0,0
2022-10-11,13.38,13.56,13.36,13.36,-1,-1,0,0
2022-10-12,13.5,13.5,13.4,13.48,-1,-1,0,0
2022-10-13,13.1,13.4,13.02,13.28,-1,-1,0,0
2022-10-14,13.22,13.5,13.2,13.5,-1,-1,0,0
2022-10-17,13.58,13.62,13.42,13.5,-1,-1,0,0
2022-10-18,13.44,13.6,13.3,13.42,-1,-1,0,0
2022-10-19,13.44,13.5,13.36,13.4,-1,-1,0,0
2022-10-20,13.48,13.5,13.36,13.48,-1,-1,0,0
2022-10-21,13.4,13.5,13.32,13.5,-1,-1,0,0
2022-10-24,13.26,13.48,13.26,13.3,-1,-1,0,0
2022-10-25,13.28,13.5,13.28,13.4,-1,-1,0,0
2022-10-26,13.36,13.5,13.32,13.4,-1,-1,0,0
2022-10-27,13.42,13.8,13.42,13.6,-1,-1,0,0
2022-10-28,13.6,13.98,13.6,13.96,-1,-1,0,0
2022-10-31,13.98,14.2,13.82,14.0,-1,-1,0,0
2022-11-02,14.0,14.44,13.9,14.38,-1,-1,0,0
2022-11-03,14.38,14.44,14.0,14.1,-1,-1,0,0
2022-11-04,14.2,14.2,13.96,14.16,-1,-1,0,0
2022-11-07,14.0,14.38,13.68,13.68,-1,-1,0,0
2022-11-08,13.7,14.18,13.7,14.16,-1,-1,0,0
2022-11-09,14.16,14.16,13.8,14.0,-1,-1,0,0
2022-11-10,14.0,14.0,13.86,14.0,-1,-1,0,0
2022-11-14,13.9,14.1,13.86,14.0,-1,-1,0,0
2022-11-15,14.12,14.12,13.78,13.88,-1,-1,0,0
2022-11-16,13.88,14.2,13.88,14.14,-1,-1,0,0
2022-11-17,14.14,14.14,14.0,14.14,-1,-1,0,0
2022-11-18,14.14,14.14,14.0,14.12,-1,-1,0,0
2022-11-21,14.12,14.12,14.0,14.08,-1,-1,0,0
2022-11-22,14.02,14.08,13.92,13.92,-1,-1,0,0
2022-11-23,13.9,14.06,13.9,14.0,-1,-1,0,0
2022-11-24,14.0,14.8,13.92,14.48,-1,-1,0,0
2022-11-25,14.46,14.8,14.38,14.7,-1,-1,0,0
2022-11-28,14.7,15.3,14.7,15.1,-1,-1,0,0
2022-11-29,15.1,15.1,14.74,14.9,-1,-1,0,0
2022-11-30,14.8,15.24,14.8,15.02,-1,-1,0,0
2022-12-01,15.0,15.12,14.86,14.98,-1,-1,0,0
2022-12-02,15.08,15.08,14.9,15.02,-1,-1,0,0
2022-12-05,14.9,15.06,14.56,14.84,-1,-1,0,0
2022-12-06,14.7,14.94,14.62,14.64,-1,-1,0,0
2022-12-07,14.7,14.98,14.6,14.7,-1,-1,0,0
2022-12-08,14.66,14.94,14.66,14.94,-1,-1,0,0
2022-12-09,15.0,15.3,14.98,15.16,-1,-1,0,0
2022-12-12,15.18,15.26,15.04,15.06,-1,-1,0,0
2022-12-13,15.02,15.18,14.98,15.1,-1,-1,0,0
2022-12-14,15.1,15.18,15.02,15.08,-1,-1,0,0
2022-12-15,15.02,15.1,14.9,14.96,-1,-1,0,0
2022-12-16,14.92,15.22,14.8,15.08,-1,-1,0,0
2022-12-19,15.16,15.16,14.74,15.08,-1,-1,0,0
2022-12-20,15.2,15.2,14.98,15.08,-1,-1,0,0
2022-12-21,15.02,15.08,14.84,15.0,-1,-1,0,0
2022-12-22,15.08,15.14,14.9,15.0,-1,-1,0,0
2022-12-23,15.06,15.08,14.96,15.08,-1,-1,0,0
2022-12-27,15.06,15.06,14.9,15.04,-1,-1,0,0
2022-12-28,14.94,15.04,14.74,14.84,-1,-1,0,0
2022-12-29,15.0,15.14,14.8,15.08,-1,-1,0,0
2022-12-30,15.06,15.08,14.86,15.0,-1,-1,0,0
2023-01-02,14.88,14.98,14.88,14.9,-1,-1,0,0
2023-01-03,14.96,14.96,14.8,14.84,-1,-1,0,0
2023-01-04,14.84,14.9,14.7,14.86,-1,-1,0,0
2023-01-05,14.76,15.0,14.74,14.8,-1,-1,0,0
2023-01-09,14.74,14.88,14.7,14.76,-1,-1,0,0
2023-01-10,14.66,14.84,14.32,14.7,-1,-1,0,0
2023-01-11,14.6,14.7,14.44,14.7,-1,-1,0,0
2023-01-12,14.6,14.7,14.42,14.58,-1,-1,0,0
2023-01-13,14.5,14.6,14.2,14.54,-1,-1,0,0
2023-01-16,14.56,15.0,14.56,14.9,-1,-1,0,0
2023-01-17,14.9,14.94,14.6,14.92,-1,-1,0,0
2023-01-18,14.9,15.0,14.86,14.92,-1,-1,0,0
2023-01-19,14.9,14.92,14.74,14.76,-1,-1,0,0
2023-01-20,14.8,14.92,14.8,14.86,-1,-1,0,0
2023-01-23,14.88,14.9,14.76,14.8,-1,-1,0,0
2023-01-24,14.92,15.04,14.88,14.88,-1,-1,0,0
2023-01-25,14.86,15.0,14.8,14.9,-1,-1,0,0
2023-01-26,14.82,15.0,14.82,15.0,-1,-1,0,0
2023-01-27,15.04,15.04,14.92,15.0,-1,-1,0,0
2023-01-30,15.0,15.0,14.84,14.98,-1,-1,0,0
2023-01-31,15.0,15.0,14.9,14.9,-1,-1,0,0
2023-02-01,14.88,15.0,14.86,14.88,-1,-1,0,0
2023-02-02,14.88,15.04,14.88,15.02,-1,-1,0,0
2023-02-03,15.02,16.2,15.0,15.74,-1,-1,0,0
2023-02-06,15.8,16.0,15.52,15.88,-1,-1,0,0
2023-02-07,15.88,15.88,15.52,15.7,-1,-1,0,0
2023-02-08,15.7,15.86,15.42,15.5,-1,-1,0,0
2023-02-09,15.44,15.96,15.44,15.88,-1,-1,0,0
2023-02-10,15.88,15.94,15.6,15.76,-1,-1,0,0
2023-02-13,15.72,15.9,15.6,15.7,-1,-1,0,0
2023-02-14,15.62,15.9,15.62,15.9,-1,-1,0,0
2023-02-15,15.9,16.0,15.88,15.9,-1,-1,0,0
2023-02-16,16.0,16.34,15.9,16.3,-1,-1,0,0
2023-02-17,16.26,16.36,16.1,16.36,-1,-1,0,0
2023-02-20,16.32,16.4,16.1,16.4,-1,-1,0,0
2023-02-21,16.3,16.4,16.14,16.34,-1,-1,0,0
2023-02-22,16.2,16.3,16.0,16.18,-1,-1,0,0
2023-02-23,16.18,16.28,16.02,16.14,-1,-1,0,0
2023-02-24,16.16,16.28,16.02,16.2,-1,-1,0,0
2023-02-27,16.2,16.34,16.04,16.24,-1,-1,0,0
2023-02-28,16.3,16.34,16.08,16.3,-1,-1,0,0
2023-03-01,16.36,16.36,16.14,16.28,-1,-1,0,0
2023-03-02,16.3,16.34,16.1,16.32,-1,-1,0,0
2023-03-03,16.32,16.6,16.28,16.58,-1,-1,0,0
2023-03-06,16.58,17.26,16.58,17.22,-1,-1,0,0
2023-03-07,17.28,17.56,17.16,17.54,-1,-1,0,0
2023-03-08,17.0,17.72,16.9,17.7,-1,-1,0,0
2023-03-09,17.7,18.0,17.2,17.98,-1,-1,0,0
2023-03-10,17.9,17.96,17.5,17.52,-1,-1,0,0
2023-03-13,17.3,17.38,16.8,17.18,-1,-1,0,0
2023-03-14,17.12,17.5,17.12,17.42,-1,-1,0,0
2023-03-15,17.44,17.46,16.7,16.96,-1,-1,0,0
2023-03-16,16.94,17.4,16.8,17.28,-1,-1,0,0
2023-03-17,17.28,17.46,17.0,17.18,-1,-1,0,0
2023-03-20,17.2,17.28,17.0,17.26,-1,-1,0,0
2023-03-21,17.28,17.66,17.14,17.58,-1,-1,0,0
2023-03-22,17.5,17.92,17.5,17.62,-1,-1,0,0
2023-03-23,17.6,17.6,17.3,17.48,-1,-1,0,0
2023-03-24,17.58,17.9,17.4,17.74,-1,-1,0,0
2023-03-27,17.82,17.86,17.44,17.68,-1,-1,0,0
2023-03-28,17.52,17.82,17.44,17.7,-1,-1,0,0
2023-03-29,17.6,17.96,17.46,17.6,-1,-1,0,0
2023-03-30,17.6,17.96,17.6,17.88,-1,-1,0,0
2023-03-31,17.94,18.0,17.8,17.94,-1,-1,0,0
2023-04-03,18.0,18.14,17.6,17.8,-1,-1,0,0
