Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-24,5.625,5.65,5.41,5.54,-1,-1,0,0
2022-11-25,5.55,5.685,5.5,5.6,-1,-1,0,0
2022-11-28,5.615,5.72,5.575,5.64,-1,-1,0,0
2022-11-29,5.69,5.73,5.51,5.7,-1,-1,0,0
2022-11-30,5.7,5.815,5.65,5.81,-1,-1,0,0
2022-12-01,5.85,6.08,5.825,6.02,-1,-1,0,0
2022-12-02,6.05,6.05,5.915,5.96,-1,-1,0,0
2022-12-05,5.965,6.075,5.96,5.99,-1,-1,0,0
2022-12-06,6.045,6.045,5.855,5.86,-1,-1,0,0
2022-12-07,5.85,6.0,5.765,5.925,-1,-1,0,0
2022-12-08,5.98,6.07,5.92,6.07,-1,-1,0,0
2022-12-09,6.07,6.11,5.94,5.96,-1,-1,0,0
2022-12-12,5.97,6.035,5.855,5.975,-1,-1,0,0
2022-12-13,6.03,6.03,5.8,5.96,-1,-1,0,0
2022-12-14,5.98,6.05,5.935,6.0,-1,-1,0,0
2022-12-15,5.94,5.985,5.665,5.7,-1,-1,0,0
2022-12-16,5.705,5.795,5.665,5.795,-1,-1,0,0
2022-12-19,5.725,5.97,5.705,5.82,-1,-1,0,0
2022-12-20,5.84,5.84,5.705,5.8,-1,-1,0,0
2022-12-21,5.81,5.91,5.8,5.89,-1,-1,0,0
2022-12-22,5.88,5.895,5.69,5.695,-1,-1,0,0
2022-12-23,5.705,5.745,5.6,5.63,-1,-1,0,0
2022-12-27,5.64,5.68,5.56,5.6,-1,-1,0,0
2022-12-28,5.58,5.685,5.55,5.59,-1,-1,0,0
2022-12-29,5.58,5.75,5.58,5.75,-1,-1,0,0
2022-12-30,5.75,6.095,5.7,6.0,-1,-1,0,0
2023-01-02,6.08,6.18,5.955,6.13,-1,-1,0,0
2023-01-03,6.16,6.35,6.13,6.28,-1,-1,0,0
2023-01-04,6.28,6.31,6.115,6.18,-1,-1,0,0
2023-01-05,6.19,6.28,6.14,6.21,-1,-1,0,0
2023-01-09,6.275,6.345,5.945,6.0,-1,-1,0,0
2023-01-10,6.02,6.02,5.78,5.825,-1,-1,0,0
2023-01-11,5.85,6.17,5.845,6.0,-1,-1,0,0
2023-01-12,6.005,6.295,6.005,6.26,-1,-1,0,0
2023-01-13,6.29,6.33,6.22,6.31,-1,-1,0,0
2023-01-16,6.32,6.33,6.145,6.2,-1,-1,0,0
2023-01-17,6.23,6.3,6.18,6.29,-1,-1,0,0
2023-01-18,6.255,6.475,6.255,6.395,-1,-1,0,0
2023-01-19,6.37,6.45,6.295,6.43,-1,-1,0,0
2023-01-20,6.43,6.46,6.365,6.39,-1,-1,0,0
2023-01-23,6.42,6.595,6.36,6.58,-1,-1,0,0
2023-01-24,6.6,7.06,6.6,6.73,-1,-1,0,0
2023-01-25,6.74,6.75,6.6,6.675,-1,-1,0,0
2023-01-26,6.675,6.755,6.56,6.615,-1,-1,0,0
2023-01-27,6.67,6.77,6.56,6.56,-1,-1,0,0
2023-01-30,6.55,6.68,6.5,6.555,-1,-1,0,0
2023-01-31,6.58,6.785,6.535,6.75,-1,-1,0,0
2023-02-01,6.79,6.79,6.42,6.42,-1,-1,0,0
2023-02-02,6.52,6.6,6.45,6.48,-1,-1,0,0
2023-02-03,6.48,6.52,6.36,6.39,-1,-1,0,0
2023-02-06,6.39,6.39,6.22,6.25,-1,-1,0,0
2023-02-07,6.225,6.38,6.2,6.38,-1,-1,0,0
2023-02-08,6.38,6.425,6.3,6.35,-1,-1,0,0
2023-02-09,6.35,6.485,6.32,6.46,-1,-1,0,0
2023-02-10,6.36,6.395,6.23,6.35,-1,-1,0,0
2023-02-13,6.35,6.41,6.32,6.35,-1,-1,0,0
2023-02-14,6.38,6.445,6.325,6.415,-1,-1,0,0
2023-02-15,6.435,6.435,6.29,6.375,-1,-1,0,0
2023-02-16,6.4,6.545,6.39,6.5,-1,-1,0,0
2023-02-17,6.45,6.575,6.41,6.575,-1,-1,0,0
2023-02-20,6.51,6.605,6.485,6.57,-1,-1,0,0
2023-02-21,6.58,6.58,6.34,6.4,-1,-1,0,0
2023-02-22,6.39,6.39,6.22,6.335,-1,-1,0,0
2023-02-23,6.4,6.45,6.35,6.425,-1,-1,0,0
2023-02-24,6.43,6.45,6.36,6.43,-1,-1,0,0
2023-02-27,6.44,6.5,6.335,6.48,-1,-1,0,0
2023-02-28,6.4,6.535,6.33,6.475,-1,-1,0,0
2023-03-01,6.52,6.57,6.455,6.475,-1,-1,0,0
2023-03-02,6.525,6.525,6.29,6.3,-1,-1,0,0
2023-03-03,6.35,6.365,6.19,6.31,-1,-1,0,0
2023-03-06,6.38,6.48,6.355,6.44,-1,-1,0,0
2023-03-07,6.47,6.635,6.44,6.54,-1,-1,0,0
2023-03-08,6.445,6.445,6.22,6.4,-1,-1,0,0
2023-03-09,6.4,6.75,6.36,6.7,-1,-1,0,0
2023-03-10,6.625,6.63,6.45,6.63,-1,-1,0,0
2023-03-13,6.65,6.66,6.335,6.55,-1,-1,0,0
2023-03-14,6.4,6.57,6.28,6.34,-1,-1,0,0
2023-03-15,6.28,6.45,6.205,6.205,-1,-1,0,0
2023-03-16,6.2,6.3,6.065,6.3,-1,-1,0,0
2023-03-17,6.31,6.4,6.155,6.235,-1,-1,0,0
2023-03-20,6.2,6.35,6.085,6.295,-1,-1,0,0
2023-03-21,6.36,6.565,6.36,6.53,-1,-1,0,0
2023-03-22,6.53,6.56,6.415,6.53,-1,-1,0,0
2023-03-23,6.5,6.515,6.24,6.465,-1,-1,0,0
2023-03-24,6.425,6.465,6.265,6.305,-1,-1,0,0
2023-03-27,6.3,6.35,6.045,6.125,-1,-1,0,0
2023-03-28,6.19,6.2,5.925,5.925,-1,-1,0,0
2023-03-29,5.95,6.01,5.755,5.86,-1,-1,0,0
2023-03-30,5.93,6.345,5.925,6.305,-1,-1,0,0
2023-03-31,6.335,6.36,6.23,6.32,-1,-1,0,0
2023-04-03,6.32,6.455,6.225,6.285,-1,-1,0,0
2023-04-04,6.38,6.45,6.27,6.375,-1,-1,0,0
2023-04-05,6.375,6.39,6.13,6.175,-1,-1,0,0
2023-04-06,6.15,6.295,6.15,6.175,-1,-1,0,0
2023-04-11,6.2,6.43,6.19,6.38,-1,-1,0,0
2023-04-12,6.38,6.4,6.24,6.37,-1,-1,0,0
2023-04-13,6.36,6.485,6.255,6.43,-1,-1,0,0
2023-04-14,6.47,6.835,6.45,6.56,-1,-1,0,0
2023-04-17,6.56,7.08,6.505,6.85,-1,-1,0,0
2023-04-18,6.85,6.95,6.7,6.9,-1,-1,0,0
2023-04-19,6.95,6.975,6.79,6.9,-1,-1,0,0
2023-04-20,6.9,7.31,6.88,7.205,-1,-1,0,0
2023-04-21,7.15,7.2,7.04,7.04,-1,-1,0,0
2023-04-24,7.03,7.03,6.78,6.94,-1,-1,0,0
2023-04-25,6.95,7.02,6.9,6.915,-1,-1,0,0
2023-04-26,6.94,6.94,6.7,6.715,-1,-1,0,0
2023-04-27,6.73,6.84,6.7,6.84,-1,-1,0,0
2023-04-28,6.82,6.84,6.715,6.73,-1,-1,0,0
2023-05-02,6.735,6.9,6.735,6.75,-1,-1,0,0
2023-05-04,6.75,6.795,6.61,6.615,-1,-1,0,0
2023-05-05,6.615,6.785,6.6,6.74,-1,-1,0,0
2023-05-08,6.68,7.185,6.68,7.08,-1,-1,0,0
2023-05-09,7.09,7.09,6.76,6.805,-1,-1,0,0
2023-05-10,6.95,7.38,6.935,7.345,-1,-1,0,0
2023-05-11,7.34,7.34,7.055,7.075,-1,-1,0,0
2023-05-12,7.15,7.435,7.075,7.4,-1,-1,0,0
2023-05-15,7.4,7.57,7.39,7.56,-1,-1,0,0
2023-05-16,7.56,7.63,7.46,7.555,-1,-1,0,0
2023-05-17,7.555,7.555,7.0,7.025,-1,-1,0,0
2023-05-18,7.11,7.23,6.855,6.935,-1,-1,0,0
2023-05-19,6.9,7.065,6.87,7.01,-1,-1,0,0
2023-05-22,7.02,7.335,6.98,7.17,-1,-1,0,0
2023-05-23,7.17,7.33,7.135,7.265,-1,-1,0,0
2023-05-24,7.275,7.275,7.055,7.16,-1,-1,0,0
2023-05-25,7.105,7.13,6.95,7.125,-1,-1,0,0
2023-05-26,7.105,7.12,7.005,7.1,-1,-1,0,0
2023-05-29,7.1,7.155,6.98,7.01,-1,-1,0,0
2023-05-30,7.01,7.01,6.65,6.66,-1,-1,0,0
2023-05-31,6.65,6.685,6.39,6.405,-1,-1,0,0
2023-06-01,6.435,6.53,6.355,6.515,-1,-1,0,0
2023-06-02,6.57,6.66,6.5,6.61,-1,-1,0,0
2023-06-05,6.64,6.76,6.545,6.605,-1,-1,0,0
2023-06-06,6.68,6.73,6.59,6.7,-1,-1,0,0
2023-06-07,6.69,6.69,6.5,6.53,-1,-1,0,0
2023-06-09,6.6,6.62,6.52,6.535,-1,-1,0,0
2023-06-12,6.6,6.665,6.41,6.42,-1,-1,0,0
2023-06-13,6.49,6.49,6.28,6.3,-1,-1,0,0
2023-06-14,6.3,6.475,6.3,6.43,-1,-1,0,0
2023-06-15,6.405,6.525,6.31,6.475,-1,-1,0,0
2023-06-16,6.52,6.595,6.45,6.475,-1,-1,0,0
2023-06-19,6.58,6.765,6.54,6.69,-1,-1,0,0
2023-06-20,6.69,6.69,6.51,6.525,-1,-1,0,0
2023-06-21,6.53,6.57,6.47,6.47,-1,-1,0,0
2023-06-22,6.49,6.635,6.46,6.46,-1,-1,0,0
2023-06-23,6.46,6.565,6.42,6.485,-1,-1,0,0
2023-06-26,6.455,6.47,6.385,6.385,-1,-1,0,0
2023-06-27,6.385,6.44,6.225,6.265,-1,-1,0,0
2023-06-28,6.3,6.46,6.3,6.4,-1,-1,0,0
2023-06-29,6.42,6.64,6.41,6.48,-1,-1,0,0
2023-06-30,6.5,6.535,6.355,6.395,-1,-1,0,0
2023-07-03,6.485,6.62,6.45,6.49,-1,-1,0,0
2023-07-04,6.46,6.72,6.46,6.53,-1,-1,0,0
2023-07-05,6.6,6.6,6.5,6.52,-1,-1,0,0
2023-07-06,6.54,6.765,6.51,6.66,-1,-1,0,0
2023-07-07,6.66,6.765,6.6,6.69,-1,-1,0,0
2023-07-10,6.68,6.725,6.61,6.62,-1,-1,0,0
2023-07-11,6.695,6.695,6.485,6.54,-1,-1,0,0
2023-07-12,6.585,6.65,6.555,6.595,-1,-1,0,0
2023-07-13,6.61,6.88,6.61,6.83,-1,-1,0,0
2023-07-14,6.83,6.93,6.75,6.76,-1,-1,0,0
2023-07-17,8.3,8.95,8.005,8.8,-1,-1,0,0
2023-07-18,8.88,9.125,8.51,9.07,-1,-1,0,0
2023-07-19,9.0,9.085,8.705,8.97,-1,-1,0,0
2023-07-20,8.86,9.1,8.86,9.08,-1,-1,0,0
2023-07-21,8.98,9.07,8.82,8.955,-1,-1,0,0
2023-07-24,8.95,9.07,8.94,9.015,-1,-1,0,0
2023-07-25,9.0,9.125,8.91,9.035,-1,-1,0,0
2023-07-26,8.99,9.065,8.805,8.805,-1,-1,0,0
2023-07-27,8.82,8.86,8.65,8.745,-1,-1,0,0
2023-07-28,8.74,8.745,8.495,8.58,-1,-1,0,0
2023-07-31,8.59,8.885,8.575,8.81,-1,-1,0,0
2023-08-01,8.8,8.98,8.77,8.98,-1,-1,0,0
2023-08-02,8.9,8.975,8.77,8.805,-1,-1,0,0
2023-08-03,8.7,8.815,8.665,8.77,-1,-1,0,0
2023-08-04,8.75,8.895,8.675,8.72,-1,-1,0,0
2023-08-07,8.775,8.92,8.68,8.87,-1,-1,0,0
2023-08-08,8.86,8.94,8.685,8.89,-1,-1,0,0
2023-08-09,8.85,9.0,8.815,9.0,-1,-1,0,0
2023-08-10,8.975,9.195,8.87,8.9,-1,-1,0,0
2023-08-11,8.92,9.05,8.8,9.01,-1,-1,0,0
2023-08-14,8.98,9.07,8.85,8.99,-1,-1,0,0
2023-08-16,9.045,9.045,8.735,8.82,-1,-1,0,0
2023-08-17,8.895,8.93,8.69,8.86,-1,-1,0,0
2023-08-18,8.9,9.08,8.775,9.08,-1,-1,0,0
2023-08-21,9.055,9.2,8.84,9.095,-1,-1,0,0
2023-08-22,9.095,9.2,8.985,9.15,-1,-1,0,0
2023-08-23,9.11,9.3,9.095,9.265,-1,-1,0,0
2023-08-24,9.3,9.3,9.05,9.08,-1,-1,0,0
2023-08-25,8.99,8.99,8.55,8.6,-1,-1,0,0
2023-08-28,8.6,8.74,8.55,8.7,-1,-1,0,0
2023-08-29,8.68,8.8,8.54,8.58,-1,-1,0,0
2023-08-30,8.71,8.71,8.515,8.62,-1,-1,0,0
2023-08-31,8.65,8.86,8.62,8.785,-1,-1,0,0
