Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-02,61.42,61.75,61.0,61.47,31,42,3,1
2023-01-03,62.0,63.26,61.84,63.0,31,42,3,1
2023-01-04,63.62,64.3,63.41,64.26,31,42,3,1
2023-01-05,64.3,65.15,63.91,64.38,31,42,3,1
2023-01-09,65.05,65.78,64.72,65.19,31,42,3,1
2023-01-10,65.15,65.42,64.7,65.2,31,42,3,1
2023-01-11,65.5,65.8,64.4,64.4,31,42,3,1
2023-01-12,64.28,65.19,64.28,64.88,31,42,3,1
2023-01-13,65.0,65.28,64.4,64.58,31,42,3,1
2023-01-16,64.7,64.85,64.09,64.67,31,42,3,1
2023-01-17,64.5,64.59,63.66,63.66,31,42,3,1
2023-01-18,63.98,64.0,63.36,63.42,31,42,3,1
2023-01-19,63.25,63.4,62.5,63.18,31,42,3,1
2023-01-20,63.18,63.9,63.18,63.9,31,42,3,1
2023-01-23,64.0,64.63,64.0,64.37,31,42,3,1
2023-01-24,64.92,65.12,64.01,64.15,31,42,3,1
2023-01-25,63.96,63.96,62.83,62.91,31,42,3,1
2023-01-26,63.31,63.84,63.31,63.56,31,42,3,1
2023-01-27,63.56,63.91,63.56,63.65,31,42,3,1
2023-01-30,63.6,63.6,62.6,62.62,31,42,3,1
2023-01-31,62.56,64.69,62.44,64.69,31,42,3,1
2023-02-01,64.8,64.8,64.0,64.06,31,42,3,1
2023-02-02,64.86,65.0,64.02,64.7,31,42,3,1
2023-02-03,64.7,65.11,64.36,64.94,31,42,3,1
2023-02-06,64.85,65.0,63.94,63.94,31,42,3,1
2023-02-07,64.1,64.3,63.51,64.17,31,42,3,1
2023-02-08,64.68,64.76,64.2,64.48,31,42,3,1
2023-02-09,64.62,65.85,64.62,65.49,31,42,3,1
2023-02-10,65.47,65.5,63.85,64.35,31,42,3,1
2023-02-13,64.6,64.6,63.82,64.16,31,42,3,1
2023-02-14,64.4,64.72,64.19,64.2,31,42,3,1
2023-02-15,64.13,64.68,63.96,64.63,31,42,3,1
2023-02-16,65.1,65.38,64.2,65.22,31,42,3,1
2023-02-17,64.9,65.24,64.49,65.02,31,42,3,1
2023-02-20,65.35,65.37,64.69,64.97,31,42,3,1
2023-02-21,64.94,64.97,63.89,64.18,31,42,3,1
2023-02-22,64.0,64.0,63.0,63.4,31,42,3,1
2023-02-23,63.37,64.02,63.37,64.02,31,42,3,1
2023-02-24,64.0,64.42,63.5,63.9,31,42,3,1
2023-02-27,64.25,64.25,63.61,64.05,31,42,3,1
2023-02-28,63.96,64.74,63.92,64.44,31,42,3,1
2023-03-01,64.97,65.52,64.9,65.31,31,42,3,1
2023-03-02,65.21,65.21,64.42,64.42,31,42,3,1
2023-03-03,65.0,65.19,64.69,65.19,31,42,3,1
2023-03-06,65.7,66.94,65.7,66.83,31,42,3,1
2023-03-07,66.94,67.52,66.75,67.11,31,42,3,1
2023-03-08,67.19,67.5,66.84,67.33,31,42,3,1
2023-03-09,67.33,68.23,67.33,67.84,31,42,3,1
2023-03-10,67.19,67.19,66.4,66.91,31,42,3,1
2023-03-13,67.0,67.24,64.78,65.77,31,42,3,1
2023-03-14,66.1,66.34,65.4,66.12,31,42,3,1
2023-03-15,66.38,66.7,64.2,64.2,31,42,3,1
2023-03-16,64.58,64.93,63.53,64.73,31,42,3,1
2023-03-17,65.39,65.54,64.24,64.56,31,42,3,1
2023-03-20,64.29,64.59,63.07,64.37,31,42,3,1
2023-03-21,64.8,66.0,64.8,66.0,31,42,3,1
2023-03-22,65.23,65.23,64.35,64.5,31,42,3,1
2023-03-23,64.65,64.67,64.0,64.59,31,42,3,1
2023-03-24,64.59,64.59,63.53,63.92,31,42,3,1
2023-03-27,64.2,64.47,63.69,64.27,31,42,3,1
2023-03-28,64.46,65.32,64.46,64.79,31,42,3,1
2023-03-29,65.36,65.36,63.53,63.53,31,42,3,1
2023-03-30,64.67,66.24,64.67,66.18,31,42,3,1
2023-03-31,66.0,66.35,65.5,66.0,31,42,3,1
2023-04-03,66.23,67.02,66.0,66.0,31,42,3,1
2023-04-04,65.99,66.64,65.9,66.03,31,42,3,1
2023-04-05,66.26,66.26,65.63,65.63,31,42,3,1
2023-04-06,65.3,65.74,65.19,65.36,31,42,3,1
2023-04-11,65.78,66.17,65.51,66.17,31,42,3,1
2023-04-12,66.3,66.65,66.1,66.61,31,42,3,1
2023-04-13,66.5,67.25,66.37,66.97,31,42,3,1
2023-04-14,67.23,67.68,67.05,67.05,31,42,3,1
