Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-27,35.0,35.9,35.0,35.9,19,26,3,1
2023-06-28,35.9,36.8,35.6,36.8,19,26,3,1
2023-06-29,36.7,39.0,36.7,39.0,19,26,3,1
2023-06-30,39.0,39.8,37.4,39.0,19,26,3,1
2023-07-03,39.4,39.5,38.0,39.4,19,26,3,1
2023-07-04,39.4,39.8,39.0,39.4,19,26,3,1
2023-07-05,39.4,39.4,39.4,39.4,19,26,3,1
2023-07-06,39.4,39.4,37.3,39.2,19,26,3,1
2023-07-07,39.3,39.4,37.3,37.9,19,26,3,1
2023-07-10,37.7,38.7,37.7,38.7,19,26,3,1
2023-07-11,38.0,38.0,38.0,38.0,19,26,3,1
2023-07-12,38.0,38.0,38.0,38.0,19,26,3,1
2023-07-13,38.0,38.6,37.7,38.6,19,26,3,1
2023-07-14,38.6,38.6,37.4,38.5,19,26,3,1
2023-07-17,37.4,38.4,37.4,38.4,19,26,3,1
2023-07-18,38.0,38.4,36.1,37.9,19,26,3,1
2023-07-19,37.0,40.0,36.1,40.0,19,26,3,1
2023-07-20,39.0,39.3,37.5,38.7,19,26,3,1
2023-07-21,38.0,39.3,37.1,38.6,19,26,3,1
2023-07-24,38.5,38.5,38.5,38.5,19,26,3,1
2023-07-25,38.4,38.5,38.4,38.4,19,26,3,1
2023-07-26,38.0,38.7,37.5,37.6,19,26,3,1
2023-07-27,37.6,38.5,37.6,38.5,19,26,3,1
2023-07-28,38.7,38.7,38.7,38.7,19,26,3,1
2023-07-31,38.8,39.0,38.8,39.0,19,26,3,1
2023-08-01,39.5,39.5,38.5,38.9,19,26,3,1
2023-08-02,38.5,38.9,38.5,38.9,19,26,3,1
2023-08-03,38.5,38.9,38.5,38.9,19,26,3,1
2023-08-04,38.9,39.4,38.9,39.4,19,26,3,1
2023-08-07,38.5,39.3,38.5,39.3,19,26,3,1
2023-08-08,38.9,39.3,38.6,39.2,19,26,3,1
2023-08-09,39.2,39.2,38.0,38.0,19,26,3,1
2023-08-10,37.9,39.3,37.9,39.2,19,26,3,1
2023-08-11,38.1,38.1,37.6,37.6,19,26,3,1
2023-08-14,37.0,37.0,36.0,36.7,19,26,3,1
2023-08-16,36.2,36.8,36.2,36.8,19,26,3,1
2023-08-17,36.8,36.8,36.8,36.8,19,26,3,1
2023-08-18,36.8,36.8,36.8,36.8,19,26,3,1
2023-08-21,36.7,37.0,36.7,37.0,19,26,3,1
2023-08-22,37.0,37.0,37.0,37.0,19,26,3,1
2023-08-23,37.0,37.0,37.0,37.0,19,26,3,1
2023-08-24,36.2,36.8,36.2,36.8,19,26,3,1
2023-08-25,36.7,37.5,36.7,37.5,19,26,3,1
2023-08-28,37.5,37.8,37.5,37.8,19,26,3,1
2023-08-29,37.8,37.8,37.8,37.8,19,26,3,1
