Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-08-07,148.2,149.0,148.2,148.2,11,15,3,1
2023-08-08,148.2,150.0,148.2,149.2,11,15,3,1
2023-08-09,150.0,150.0,148.2,148.6,11,15,3,1
2023-08-10,148.6,150.0,148.2,149.8,11,15,3,1
2023-08-11,150.0,152.0,148.0,148.2,11,15,3,1
2023-08-14,148.2,153.0,148.2,152.4,11,15,3,1
2023-08-16,153.0,153.0,148.2,148.4,11,15,3,1
2023-08-17,148.2,152.0,144.2,145.6,11,15,3,1
2023-08-18,145.6,147.0,144.0,146.0,11,15,3,1
2023-08-21,147.0,155.0,146.2,155.0,11,15,3,1
2023-08-22,155.0,155.0,149.0,150.4,11,15,3,1
2023-08-23,150.4,150.6,146.0,146.0,11,15,3,1
2023-08-24,145.6,149.8,145.4,148.4,11,15,3,1
2023-08-25,148.0,149.0,146.2,148.6,11,15,3,1
2023-08-28,149.4,153.8,148.6,151.2,11,15,3,1
2023-08-29,153.0,153.0,150.0,150.4,11,15,3,1
2023-08-30,150.4,152.0,148.8,152.0,11,15,3,1
2023-08-31,151.0,154.0,151.0,154.0,11,15,3,1
