Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-19,7.53,7.66,7.456,7.508,24,32,3,1
2023-06-20,7.45,7.498,7.35,7.408,24,32,3,1
2023-06-21,7.41,7.494,7.314,7.36,24,32,3,1
2023-06-22,7.36,7.434,7.14,7.15,24,32,3,1
2023-06-23,7.13,7.24,7.072,7.176,24,32,3,1
2023-06-26,7.19,7.286,7.12,7.278,24,32,3,1
2023-06-27,7.28,7.29,7.104,7.142,24,32,3,1
2023-06-28,7.38,7.38,7.14,7.238,24,32,3,1
2023-06-29,7.238,7.5,7.238,7.4,24,32,3,1
2023-06-30,7.444,7.48,7.26,7.26,24,32,3,1
2023-07-03,7.258,7.45,7.258,7.394,24,32,3,1
2023-07-04,7.43,7.432,7.302,7.37,24,32,3,1
2023-07-05,7.37,7.37,7.234,7.234,24,32,3,1
2023-07-06,7.2,7.35,7.104,7.188,24,32,3,1
2023-07-07,7.22,7.286,7.056,7.122,24,32,3,1
2023-07-10,7.126,7.14,7.02,7.052,24,32,3,1
2023-07-11,7.052,7.124,6.96,7.064,24,32,3,1
2023-07-12,7.074,7.25,7.06,7.202,24,32,3,1
2023-07-13,7.202,7.298,7.182,7.24,24,32,3,1
2023-07-14,7.2,7.31,7.162,7.24,24,32,3,1
2023-07-17,7.59,8.72,7.58,8.318,24,32,3,1
2023-07-18,8.318,8.66,8.13,8.59,24,32,3,1
2023-07-19,8.59,8.592,8.334,8.446,24,32,3,1
2023-07-20,8.48,8.55,8.35,8.35,24,32,3,1
2023-07-21,8.35,8.368,8.166,8.34,24,32,3,1
2023-07-24,8.398,8.59,8.35,8.532,24,32,3,1
2023-07-25,8.532,8.552,8.384,8.49,24,32,3,1
2023-07-26,8.5,8.526,8.364,8.396,24,32,3,1
2023-07-27,8.4,8.498,8.304,8.454,24,32,3,1
2023-07-28,8.45,8.45,8.264,8.392,24,32,3,1
2023-07-31,8.37,8.7,8.228,8.522,24,32,3,1
2023-08-01,8.56,8.84,8.498,8.822,24,32,3,1
2023-08-02,8.8,8.816,8.65,8.71,24,32,3,1
2023-08-03,8.66,8.7,8.5,8.612,24,32,3,1
2023-08-04,8.612,8.76,8.588,8.67,24,32,3,1
2023-08-07,8.62,8.708,8.552,8.646,24,32,3,1
2023-08-08,8.55,8.634,8.41,8.47,24,32,3,1
2023-08-09,8.52,8.688,8.514,8.626,24,32,3,1
2023-08-10,8.656,9.018,8.632,8.966,24,32,3,1
2023-08-11,8.94,9.018,8.822,8.934,24,32,3,1
2023-08-14,8.9,8.9,8.762,8.832,24,32,3,1
2023-08-16,8.8,8.904,8.698,8.816,24,32,3,1
2023-08-17,8.76,8.832,8.578,8.702,24,32,3,1
2023-08-18,8.6,8.938,8.59,8.884,24,32,3,1
2023-08-21,8.88,9.05,8.808,8.85,24,32,3,1
2023-08-22,8.836,8.9,8.716,8.82,24,32,3,1
2023-08-23,8.82,9.226,8.82,9.164,24,32,3,1
2023-08-24,9.24,9.378,8.952,8.952,24,32,3,1
2023-08-25,8.85,8.92,8.672,8.824,24,32,3,1
2023-08-28,8.9,8.92,8.692,8.918,24,32,3,1
2023-08-29,8.93,8.938,8.6,8.632,24,32,3,1
2023-08-30,8.63,8.672,8.508,8.616,24,32,3,1
2023-08-31,8.602,8.704,8.446,8.486,24,32,3,1
