Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-11,26.4,26.8,25.9,26.71,16,24,3,1
2023-04-12,26.51,27.77,26.35,27.6,16,24,3,1
2023-04-13,27.5,28.59,27.37,28.39,16,24,3,1
2023-04-14,28.51,29.15,28.0,28.8,16,24,3,1
2023-04-17,29.25,29.31,28.83,29.0,16,24,3,1
2023-04-18,29.26,30.6,28.95,30.17,16,24,3,1
2023-04-19,30.04,30.3,29.29,30.25,16,24,3,1
2023-04-20,30.2,31.08,30.12,30.6,16,24,3,1
2023-04-21,30.34,30.42,29.74,30.19,16,24,3,1
2023-04-24,29.87,30.8,29.87,30.6,16,24,3,1
2023-04-25,30.32,30.58,29.89,29.89,16,24,3,1
2023-04-26,29.73,30.25,29.33,29.8,16,24,3,1
2023-04-27,30.0,31.88,29.91,31.84,16,24,3,1
2023-04-28,31.8,31.92,30.78,31.25,16,24,3,1
2023-05-02,31.36,31.93,30.78,30.78,16,24,3,1
2023-05-04,30.8,31.31,29.55,29.82,16,24,3,1
2023-05-05,29.75,30.7,29.75,30.54,16,24,3,1
2023-05-08,30.8,31.42,30.7,30.94,16,24,3,1
2023-05-09,30.64,30.76,30.29,30.68,16,24,3,1
2023-05-10,30.96,31.84,30.51,31.1,16,24,3,1
2023-05-11,31.13,31.48,30.5,30.66,16,24,3,1
2023-05-12,30.72,31.64,30.68,31.35,16,24,3,1
2023-05-15,31.73,31.93,31.06,31.3,16,24,3,1
2023-05-16,31.54,32.0,31.04,31.55,16,24,3,1
2023-05-17,31.36,31.48,30.89,31.3,16,24,3,1
2023-05-18,31.45,31.8,31.01,31.36,16,24,3,1
2023-05-19,31.73,33.0,31.53,32.89,16,24,3,1
2023-05-22,32.74,33.7,32.71,33.42,16,24,3,1
2023-05-23,33.5,34.13,33.33,33.33,16,24,3,1
2023-05-24,33.05,33.19,31.75,31.75,16,24,3,1
2023-05-25,31.8,32.03,31.0,31.31,16,24,3,1
2023-05-26,31.7,32.8,31.37,32.28,16,24,3,1
2023-05-29,32.79,33.03,32.47,32.53,16,24,3,1
2023-05-30,32.25,32.26,31.36,31.46,16,24,3,1
2023-05-31,30.78,30.78,29.67,29.8,16,24,3,1
2023-06-01,30.5,31.48,29.95,31.44,16,24,3,1
2023-06-02,32.04,33.62,31.85,33.59,16,24,3,1
2023-06-05,33.58,34.72,33.32,33.7,16,24,3,1
2023-06-06,33.6,35.01,33.5,34.92,16,24,3,1
2023-06-07,34.68,34.92,33.83,34.18,16,24,3,1
2023-06-09,34.98,35.0,34.34,34.63,16,24,3,1
2023-06-12,34.77,35.24,34.21,34.21,16,24,3,1
2023-06-13,35.01,35.01,33.67,33.75,16,24,3,1
2023-06-14,34.25,35.42,34.1,35.4,16,24,3,1
2023-06-15,35.17,35.75,34.57,35.67,16,24,3,1
2023-06-16,35.96,36.92,35.88,36.6,16,24,3,1
