Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-16,69.9,70.03,69.34,69.51,31,42,3,1
2023-06-19,69.5,70.18,69.38,69.95,31,42,3,1
2023-06-20,69.95,69.95,69.0,69.0,31,42,3,1
2023-06-21,69.62,70.3,69.6,70.0,31,42,3,1
2023-06-22,70.29,70.9,69.63,70.5,31,42,3,1
2023-06-23,70.5,70.5,69.84,69.9,31,42,3,1
2023-06-26,70.28,70.98,69.78,70.65,31,42,3,1
2023-06-27,70.74,71.0,69.95,70.44,31,42,3,1
2023-06-28,70.9,71.1,70.59,71.0,31,42,3,1
2023-06-29,71.47,71.9,71.18,71.9,31,42,3,1
2023-06-30,71.9,72.0,71.24,72.0,31,42,3,1
2023-07-03,72.33,72.52,72.05,72.31,31,42,3,1
2023-07-04,72.57,72.82,72.3,72.58,31,42,3,1
2023-07-05,72.58,72.64,71.91,72.01,31,42,3,1
2023-07-06,71.66,72.72,71.5,72.21,31,42,3,1
2023-07-07,73.0,73.5,72.7,73.22,31,42,3,1
2023-07-10,73.4,74.4,73.0,74.33,31,42,3,1
2023-07-11,74.74,74.74,74.14,74.54,31,42,3,1
2023-07-12,74.75,76.18,74.7,76.12,31,42,3,1
2023-07-13,76.05,76.59,75.85,76.03,31,42,3,1
2023-07-14,76.31,77.49,75.99,77.2,31,42,3,1
2023-07-17,76.0,79.0,76.0,78.58,31,42,3,1
2023-07-18,78.6,79.26,78.6,79.26,31,42,3,1
2023-07-19,79.25,79.72,78.81,79.5,31,42,3,1
2023-07-20,79.2,79.91,79.2,79.2,31,42,3,1
2023-07-21,79.49,79.63,78.9,79.6,31,42,3,1
2023-07-24,79.7,80.25,79.61,79.79,31,42,3,1
2023-07-25,79.79,80.38,79.44,79.96,31,42,3,1
2023-07-26,80.08,80.1,79.11,79.22,31,42,3,1
2023-07-27,79.07,79.4,78.83,79.04,31,42,3,1
2023-07-28,79.04,79.33,78.76,78.88,31,42,3,1
2023-07-31,78.8,80.27,78.8,80.06,31,42,3,1
2023-08-01,80.27,80.27,79.67,79.81,31,42,3,1
2023-08-02,79.38,79.38,78.69,78.78,31,42,3,1
2023-08-03,78.65,78.78,78.28,78.68,31,42,3,1
2023-08-04,79.25,79.5,78.77,79.06,31,42,3,1
2023-08-07,78.88,78.88,77.8,77.87,31,42,3,1
2023-08-08,77.9,77.9,76.79,77.1,31,42,3,1
2023-08-09,77.33,78.0,77.07,77.54,31,42,3,1
2023-08-10,77.5,78.0,77.49,77.81,31,42,3,1
2023-08-11,78.09,79.17,77.54,79.04,31,42,3,1
2023-08-14,78.79,79.34,78.79,79.34,31,42,3,1
2023-08-15,79.34,79.34,79.34,79.34,31,42,3,1
2023-08-16,79.16,79.34,78.0,78.3,31,42,3,1
2023-08-17,77.9,78.5,77.8,78.05,31,42,3,1
2023-08-18,77.8,78.05,77.33,78.05,31,42,3,1
2023-08-21,78.0,78.6,78.0,78.58,31,42,3,1
2023-08-22,78.67,78.99,78.58,78.7,31,42,3,1
2023-08-23,78.45,78.8,77.94,78.11,31,42,3,1
2023-08-24,78.04,78.55,77.98,77.98,31,42,3,1
2023-08-25,77.71,77.95,77.12,77.51,31,42,3,1
2023-08-28,77.51,78.08,77.24,77.8,31,42,3,1
2023-08-29,78.0,78.25,77.6,77.84,31,42,3,1
2023-08-30,77.95,78.22,77.67,77.92,31,42,3,1
2023-08-31,78.0,78.03,77.44,77.67,31,42,3,1
