Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-08,3.355,3.55,3.355,3.405,23,33,3,1
2023-05-09,3.45,3.495,3.38,3.495,23,33,3,1
2023-05-10,3.525,3.525,3.46,3.5,23,33,3,1
2023-05-11,3.54,3.58,3.51,3.57,23,33,3,1
2023-05-12,3.57,3.62,3.57,3.62,23,33,3,1
2023-05-15,3.625,3.675,3.605,3.675,23,33,3,1
2023-05-16,3.63,3.695,3.605,3.655,23,33,3,1
2023-05-17,3.635,3.68,3.565,3.63,23,33,3,1
2023-05-18,3.735,3.78,3.68,3.7,23,33,3,1
2023-05-19,3.7,3.795,3.655,3.795,23,33,3,1
2023-05-22,3.77,3.805,3.7,3.8,23,33,3,1
2023-05-23,3.8,3.94,3.8,3.94,23,33,3,1
2023-05-24,3.9,3.9,3.83,3.84,23,33,3,1
2023-05-25,3.965,3.97,3.85,3.9,23,33,3,1
2023-05-26,3.86,3.91,3.86,3.89,23,33,3,1
2023-05-29,3.885,3.9,3.835,3.86,23,33,3,1
2023-05-30,3.855,3.915,3.83,3.875,23,33,3,1
2023-05-31,3.87,3.875,3.735,3.86,23,33,3,1
2023-06-01,3.86,3.86,3.66,3.725,23,33,3,1
2023-06-02,3.85,3.95,3.85,3.94,23,33,3,1
2023-06-05,3.96,4.16,3.96,4.09,23,33,3,1
2023-06-06,4.17,4.175,4.02,4.065,23,33,3,1
2023-06-07,4.1,4.1,3.945,4.05,23,33,3,1
2023-06-09,4.085,4.1,4.005,4.09,23,33,3,1
2023-06-12,4.08,4.08,4.045,4.075,23,33,3,1
2023-06-13,4.07,4.08,3.97,3.97,23,33,3,1
2023-06-14,3.975,4.095,3.97,4.095,23,33,3,1
2023-06-15,4.1,4.1,3.97,4.09,23,33,3,1
2023-06-16,4.1,4.12,4.03,4.08,23,33,3,1
2023-06-19,4.07,4.14,4.07,4.11,23,33,3,1
2023-06-20,4.075,4.11,4.055,4.09,23,33,3,1
2023-06-21,4.09,4.09,4.055,4.07,23,33,3,1
2023-06-22,4.09,4.15,4.065,4.09,23,33,3,1
2023-06-23,4.09,4.15,4.055,4.055,23,33,3,1
2023-06-26,4.055,4.135,3.94,3.94,23,33,3,1
2023-06-27,3.98,4.1,3.92,4.08,23,33,3,1
2023-06-28,4.2,4.26,4.185,4.205,23,33,3,1
2023-06-29,4.21,4.245,4.17,4.23,23,33,3,1
2023-06-30,4.23,4.28,4.12,4.26,23,33,3,1
2023-07-03,4.3,4.495,4.3,4.495,23,33,3,1
2023-07-04,4.5,4.83,4.495,4.75,23,33,3,1
2023-07-05,4.78,4.93,4.61,4.68,23,33,3,1
2023-07-06,4.68,4.74,4.55,4.71,23,33,3,1
2023-07-07,4.71,4.8,4.62,4.795,23,33,3,1
2023-07-10,4.8,4.895,4.77,4.85,23,33,3,1
2023-07-11,4.87,4.915,4.8,4.915,23,33,3,1
2023-07-12,4.9,4.915,4.835,4.85,23,33,3,1
2023-07-13,4.565,4.565,4.39,4.44,23,33,3,1
2023-07-14,4.44,4.795,4.43,4.68,23,33,3,1
2023-07-17,4.67,5.0,4.67,4.825,23,33,3,1
2023-07-18,4.83,4.9,4.83,4.875,23,33,3,1
2023-07-19,4.85,4.875,4.75,4.785,23,33,3,1
2023-07-20,4.79,4.79,4.61,4.7,23,33,3,1
2023-07-21,4.7,4.815,4.625,4.81,23,33,3,1
2023-07-24,4.9,4.95,4.46,4.565,23,33,3,1
2023-07-25,4.62,4.62,4.52,4.59,23,33,3,1
2023-07-26,4.64,4.64,4.46,4.46,23,33,3,1
2023-07-27,4.46,4.7,4.46,4.69,23,33,3,1
2023-07-28,4.72,4.72,4.62,4.695,23,33,3,1
