Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-12,6.12,6.12,6.1,6.1,-1,-1,0,0
2023-01-13,6.1,6.14,6.1,6.1,-1,-1,0,0
2023-01-16,6.12,6.28,6.06,6.12,-1,-1,0,0
2023-01-17,6.12,6.12,6.02,6.1,-1,-1,0,0
2023-01-18,6.1,6.1,6.1,6.1,-1,-1,0,0
2023-01-19,6.1,6.12,6.04,6.04,-1,-1,0,0
2023-01-20,6.06,6.1,6.04,6.1,-1,-1,0,0
2023-01-23,6.3,6.5,6.12,6.4,-1,-1,0,0
2023-01-24,6.52,6.8,6.4,6.46,-1,-1,0,0
2023-01-25,6.72,6.9,6.6,6.7,-1,-1,0,0
2023-01-26,6.7,7.0,6.7,6.92,-1,-1,0,0
2023-01-27,6.96,7.0,6.82,6.84,-1,-1,0,0
2023-01-30,6.96,6.96,6.66,6.66,-1,-1,0,0
2023-01-31,6.66,6.7,6.5,6.5,-1,-1,0,0
2023-02-01,6.52,6.9,6.52,6.52,-1,-1,0,0
2023-02-02,6.6,6.8,6.6,6.72,-1,-1,0,0
2023-02-03,6.74,6.9,6.72,6.72,-1,-1,0,0
2023-02-06,6.78,7.18,6.72,6.86,-1,-1,0,0
2023-02-07,6.86,7.0,6.86,6.88,-1,-1,0,0
2023-02-08,7.0,7.14,6.96,7.02,-1,-1,0,0
2023-02-09,7.0,7.04,7.0,7.04,-1,-1,0,0
2023-02-10,7.04,7.04,6.72,6.82,-1,-1,0,0
2023-02-13,6.82,6.82,6.72,6.8,-1,-1,0,0
2023-02-14,6.74,6.74,6.6,6.7,-1,-1,0,0
2023-02-15,6.7,6.76,6.56,6.56,-1,-1,0,0
2023-02-16,6.56,6.68,6.52,6.64,-1,-1,0,0
2023-02-17,6.54,6.68,6.52,6.54,-1,-1,0,0
2023-02-20,6.66,6.7,6.56,6.56,-1,-1,0,0
2023-02-21,6.56,6.66,6.52,6.52,-1,-1,0,0
2023-02-22,6.52,6.52,6.52,6.52,-1,-1,0,0
2023-02-23,6.62,6.68,6.52,6.52,-1,-1,0,0
2023-02-24,6.68,6.68,6.56,6.56,-1,-1,0,0
2023-02-27,6.66,6.7,6.6,6.6,-1,-1,0,0
2023-02-28,6.6,6.7,6.52,6.56,-1,-1,0,0
2023-03-01,6.58,6.7,6.56,6.6,-1,-1,0,0
2023-03-02,6.64,6.72,6.52,6.52,-1,-1,0,0
2023-03-03,6.52,6.52,6.42,6.42,-1,-1,0,0
2023-03-06,6.44,6.56,6.42,6.44,-1,-1,0,0
2023-03-07,6.5,6.5,6.48,6.5,-1,-1,0,0
2023-03-08,6.44,6.44,6.44,6.44,-1,-1,0,0
2023-03-09,6.5,6.5,6.42,6.42,-1,-1,0,0
2023-03-10,6.4,6.58,6.36,6.58,-1,-1,0,0
2023-03-13,6.48,6.58,6.28,6.58,-1,-1,0,0
2023-03-14,6.3,6.4,6.3,6.32,-1,-1,0,0
2023-03-15,6.58,6.58,6.2,6.3,-1,-1,0,0
2023-03-16,6.3,6.58,6.2,6.2,-1,-1,0,0
2023-03-17,6.3,6.3,6.3,6.3,-1,-1,0,0
2023-03-20,6.3,6.34,6.3,6.34,-1,-1,0,0
