Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-22,8.08,8.08,7.97,7.97,-1,-1,0,0
2023-06-23,7.98,7.98,7.8,7.84,-1,-1,0,0
2023-06-26,7.81,7.97,7.7,7.85,-1,-1,0,0
2023-06-27,7.85,7.98,7.73,7.82,-1,-1,0,0
2023-06-28,7.82,7.83,7.7,7.8,-1,-1,0,0
2023-06-29,7.8,8.35,7.8,8.3,-1,-1,0,0
2023-06-30,8.32,8.32,8.08,8.12,-1,-1,0,0
2023-07-03,8.1,8.24,8.0,8.13,-1,-1,0,0
2023-07-04,8.14,8.29,8.06,8.28,-1,-1,0,0
2023-07-05,8.3,8.33,8.2,8.26,-1,-1,0,0
2023-07-06,8.3,8.3,8.04,8.09,-1,-1,0,0
2023-07-07,8.01,8.14,8.0,8.0,-1,-1,0,0
2023-07-10,8.05,8.07,7.96,7.96,-1,-1,0,0
2023-07-11,7.96,8.04,7.91,8.02,-1,-1,0,0
2023-07-12,8.02,8.25,7.97,8.1,-1,-1,0,0
2023-07-13,8.21,8.26,8.08,8.1,-1,-1,0,0
2023-07-14,8.19,8.66,8.17,8.6,-1,-1,0,0
2023-07-17,8.58,8.88,8.43,8.43,-1,-1,0,0
2023-07-18,8.46,8.57,8.4,8.56,-1,-1,0,0
2023-07-19,8.6,8.8,8.3,8.69,-1,-1,0,0
2023-07-20,8.8,8.88,8.6,8.8,-1,-1,0,0
2023-07-21,8.8,8.94,8.6,8.93,-1,-1,0,0
2023-07-24,8.94,9.05,8.85,8.85,-1,-1,0,0
2023-07-25,8.86,9.1,8.86,9.05,-1,-1,0,0
2023-07-26,9.09,9.09,8.84,8.95,-1,-1,0,0
2023-07-27,8.99,9.06,8.9,8.96,-1,-1,0,0
2023-07-28,9.0,9.03,8.64,8.83,-1,-1,0,0
2023-07-31,8.93,9.2,8.9,9.08,-1,-1,0,0
2023-08-01,8.77,8.9,8.63,8.7,-1,-1,0,0
2023-08-02,8.65,8.7,8.5,8.55,-1,-1,0,0
2023-08-03,8.5,8.6,8.28,8.4,-1,-1,0,0
2023-08-04,8.38,8.49,8.14,8.15,-1,-1,0,0
2023-08-07,8.19,8.33,8.15,8.2,-1,-1,0,0
2023-08-08,8.27,8.29,8.1,8.28,-1,-1,0,0
2023-08-09,8.26,8.28,8.2,8.28,-1,-1,0,0
2023-08-10,8.25,8.32,8.12,8.22,-1,-1,0,0
2023-08-11,8.3,8.31,8.12,8.17,-1,-1,0,0
2023-08-14,8.16,8.27,8.02,8.16,-1,-1,0,0
2023-08-16,8.24,8.24,8.06,8.17,-1,-1,0,0
2023-08-17,8.03,8.17,7.95,8.06,-1,-1,0,0
2023-08-18,8.0,8.1,7.95,7.96,-1,-1,0,0
2023-08-21,7.95,8.09,7.94,7.98,-1,-1,0,0
2023-08-22,8.1,8.2,7.96,7.97,-1,-1,0,0
2023-08-23,8.0,8.06,7.96,7.97,-1,-1,0,0
2023-08-24,7.97,8.0,7.88,7.88,-1,-1,0,0
2023-08-25,7.88,7.97,7.82,7.96,-1,-1,0,0
2023-08-28,7.98,8.0,7.95,8.0,-1,-1,0,0
2023-08-29,8.0,8.08,7.9,7.97,-1,-1,0,0
2023-08-30,7.97,8.1,7.95,8.09,-1,-1,0,0
2023-08-31,8.07,8.13,8.0,8.13,-1,-1,0,0
