Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-24,74.6,77.8,74.2,77.0,-1,-1,0,0
2023-04-25,77.0,77.4,74.6,76.0,-1,-1,0,0
2023-04-26,76.0,78.0,75.0,78.0,-1,-1,0,0
2023-04-27,78.0,78.8,77.6,78.0,-1,-1,0,0
2023-04-28,77.0,78.2,76.0,77.0,-1,-1,0,0
2023-05-02,76.0,76.8,75.0,76.6,-1,-1,0,0
2023-05-04,76.8,76.8,75.2,75.6,-1,-1,0,0
2023-05-05,76.0,76.0,73.4,75.0,-1,-1,0,0
2023-05-08,74.8,75.0,74.0,74.8,-1,-1,0,0
2023-05-09,74.8,76.0,74.4,75.6,-1,-1,0,0
2023-05-10,75.0,76.0,74.4,75.8,-1,-1,0,0
2023-05-11,75.8,77.2,75.0,77.0,-1,-1,0,0
2023-05-12,77.2,77.6,75.6,75.8,-1,-1,0,0
2023-05-15,76.6,77.2,75.6,77.0,-1,-1,0,0
2023-05-16,73.8,74.6,71.4,72.0,-1,-1,0,0
2023-05-17,72.0,72.0,68.4,68.8,-1,-1,0,0
2023-05-18,69.2,70.8,67.2,68.0,-1,-1,0,0
2023-05-19,69.0,69.0,67.2,68.6,-1,-1,0,0
2023-05-22,69.0,70.2,68.6,69.0,-1,-1,0,0
2023-05-23,69.6,72.0,68.6,71.0,-1,-1,0,0
2023-05-24,72.0,72.0,68.0,70.0,-1,-1,0,0
2023-05-25,70.0,71.0,68.2,70.6,-1,-1,0,0
2023-05-26,70.8,71.4,70.0,70.0,-1,-1,0,0
2023-05-29,69.8,71.0,69.8,70.4,-1,-1,0,0
2023-05-30,70.2,71.2,69.2,70.2,-1,-1,0,0
2023-05-31,70.0,70.0,68.2,69.6,-1,-1,0,0
2023-06-01,69.2,69.6,68.2,69.0,-1,-1,0,0
2023-06-02,68.8,69.4,68.0,69.4,-1,-1,0,0
2023-06-05,70.0,70.8,68.8,70.2,-1,-1,0,0
2023-06-06,74.0,78.2,72.0,75.6,-1,-1,0,0
2023-06-07,76.0,77.2,74.6,74.6,-1,-1,0,0
2023-06-09,74.4,76.4,74.4,75.6,-1,-1,0,0
2023-06-12,75.4,77.2,74.6,75.4,-1,-1,0,0
2023-06-13,75.2,75.4,74.6,74.8,-1,-1,0,0
2023-06-14,75.4,76.0,74.8,75.4,-1,-1,0,0
2023-06-15,75.0,75.4,74.4,75.0,-1,-1,0,0
2023-06-16,74.4,75.0,74.2,74.8,-1,-1,0,0
2023-06-19,74.8,75.0,74.0,74.8,-1,-1,0,0
2023-06-20,74.2,74.8,72.4,74.0,-1,-1,0,0
2023-06-21,74.0,74.2,73.0,74.0,-1,-1,0,0
2023-06-22,74.0,74.0,72.0,72.8,-1,-1,0,0
2023-06-23,73.2,74.8,72.8,72.8,-1,-1,0,0
2023-06-26,72.8,73.6,72.0,72.6,-1,-1,0,0
2023-06-27,73.4,73.4,72.2,73.2,-1,-1,0,0
2023-06-28,73.6,73.6,72.8,73.0,-1,-1,0,0
2023-06-29,73.6,74.6,73.6,73.6,-1,-1,0,0
2023-06-30,73.6,74.6,73.6,73.6,-1,-1,0,0
2023-07-03,74.2,76.4,74.2,76.2,-1,-1,0,0
2023-07-04,76.8,78.4,76.6,78.0,-1,-1,0,0
2023-07-05,78.4,78.6,75.8,76.8,-1,-1,0,0
2023-07-06,76.8,77.0,74.4,75.4,-1,-1,0,0
2023-07-07,76.0,76.4,74.8,76.4,-1,-1,0,0
2023-07-10,75.2,75.8,75.2,75.8,-1,-1,0,0
2023-07-11,75.4,75.6,75.0,75.6,-1,-1,0,0
2023-07-12,75.0,75.6,75.0,75.6,-1,-1,0,0
2023-07-13,75.6,75.8,75.6,75.6,-1,-1,0,0
2023-07-14,75.8,76.4,75.8,75.8,-1,-1,0,0
2023-07-17,76.0,76.0,75.2,75.4,-1,-1,0,0
2023-07-18,76.2,76.4,75.2,76.4,-1,-1,0,0
2023-07-19,76.6,77.8,76.4,76.6,-1,-1,0,0
2023-07-20,77.6,77.6,75.2,76.6,-1,-1,0,0
2023-07-21,75.2,76.0,75.0,75.0,-1,-1,0,0
2023-07-24,75.6,75.6,74.8,75.0,-1,-1,0,0
2023-07-25,74.6,75.0,74.4,75.0,-1,-1,0,0
2023-07-26,75.0,77.2,75.0,76.6,-1,-1,0,0
2023-07-27,76.6,76.6,75.4,76.6,-1,-1,0,0
2023-07-28,75.6,75.6,75.2,75.2,-1,-1,0,0
2023-07-31,76.4,76.6,75.0,76.0,-1,-1,0,0
2023-08-01,76.0,76.0,75.0,76.0,-1,-1,0,0
2023-08-02,75.6,76.0,75.0,75.4,-1,-1,0,0
2023-08-03,75.2,75.4,74.6,75.0,-1,-1,0,0
2023-08-04,75.4,75.4,74.0,74.6,-1,-1,0,0
2023-08-07,75.4,75.4,74.2,75.4,-1,-1,0,0
2023-08-08,74.2,74.6,74.0,74.0,-1,-1,0,0
2023-08-09,74.0,74.0,73.4,73.4,-1,-1,0,0
2023-08-10,73.6,75.0,73.6,75.0,-1,-1,0,0
2023-08-11,73.6,75.0,73.6,73.8,-1,-1,0,0
2023-08-14,73.8,75.4,73.8,73.8,-1,-1,0,0
2023-08-16,75.0,75.2,74.8,75.2,-1,-1,0,0
2023-08-17,75.0,75.4,74.6,75.0,-1,-1,0,0
2023-08-18,75.0,75.2,74.0,74.2,-1,-1,0,0
2023-08-21,74.4,75.4,74.2,74.2,-1,-1,0,0
2023-08-22,76.0,76.0,74.6,75.0,-1,-1,0,0
2023-08-23,75.8,75.8,75.0,75.0,-1,-1,0,0
2023-08-24,74.8,75.8,74.4,74.4,-1,-1,0,0
2023-08-25,75.4,75.4,74.0,74.0,-1,-1,0,0
2023-08-28,74.0,75.4,74.0,75.4,-1,-1,0,0
2023-08-29,75.6,75.6,74.6,74.6,-1,-1,0,0
2023-08-30,74.6,75.4,74.2,75.0,-1,-1,0,0
2023-08-31,74.0,74.2,74.0,74.0,-1,-1,0,0
