Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-10-21,50.7,50.7,49.95,50.26,-1,-1,0,0
2022-10-24,50.64,50.68,49.05,50.28,-1,-1,0,0
2022-10-25,50.54,51.38,49.86,51.26,-1,-1,0,0
2022-10-26,51.46,53.34,51.04,53.28,-1,-1,0,0
2022-10-27,53.68,55.58,53.32,55.58,-1,-1,0,0
2022-10-28,55.0,56.3,54.24,55.54,-1,-1,0,0
2022-10-31,55.88,55.88,54.2,54.92,-1,-1,0,0
2022-11-02,55.88,58.58,55.5,58.04,-1,-1,0,0
2022-11-03,57.5,59.96,56.8,59.96,-1,-1,0,0
2022-11-04,60.82,63.0,60.82,63.0,-1,-1,0,0
2022-11-07,63.46,63.64,59.3,60.5,-1,-1,0,0
2022-11-08,60.4,62.3,59.6,62.04,-1,-1,0,0
2022-11-09,62.0,62.48,60.86,61.0,-1,-1,0,0
2022-11-10,60.5,62.88,59.44,62.6,-1,-1,0,0
2022-11-14,62.9,65.28,62.62,63.44,-1,-1,0,0
2022-11-15,63.78,65.48,62.78,64.9,-1,-1,0,0
2022-11-16,64.2,64.96,64.02,64.1,-1,-1,0,0
2022-11-17,64.3,65.14,63.1,64.1,-1,-1,0,0
2022-11-18,64.1,64.6,62.14,62.76,-1,-1,0,0
2022-11-21,62.78,63.32,61.24,61.5,-1,-1,0,0
2022-11-22,62.3,64.6,62.26,64.14,-1,-1,0,0
2022-11-23,64.66,65.4,63.22,63.6,-1,-1,0,0
2022-11-24,64.18,64.22,62.42,64.04,-1,-1,0,0
2022-11-25,64.0,64.42,63.14,64.26,-1,-1,0,0
2022-11-28,63.7,63.72,62.28,62.6,-1,-1,0,0
2022-11-29,64.0,65.22,62.88,64.8,-1,-1,0,0
2022-11-30,65.0,66.3,64.28,65.3,-1,-1,0,0
2022-12-01,65.8,68.24,64.52,68.24,-1,-1,0,0
2022-12-02,67.94,67.96,64.5,64.5,-1,-1,0,0
2022-12-05,64.82,66.36,64.3,65.82,-1,-1,0,0
2022-12-06,65.5,65.68,63.72,64.22,-1,-1,0,0
2022-12-07,64.0,64.82,63.86,64.62,-1,-1,0,0
2022-12-08,64.32,64.32,62.4,62.98,-1,-1,0,0
2022-12-09,63.02,63.26,61.32,62.2,-1,-1,0,0
2022-12-12,61.96,63.8,61.56,63.74,-1,-1,0,0
2022-12-13,63.68,65.02,62.7,63.94,-1,-1,0,0
2022-12-14,64.0,64.52,63.28,63.58,-1,-1,0,0
2022-12-15,63.2,63.68,62.6,63.48,-1,-1,0,0
2022-12-16,63.0,63.32,61.7,62.5,-1,-1,0,0
2022-12-19,62.3,63.36,62.06,62.78,-1,-1,0,0
2022-12-20,62.14,63.9,61.84,63.8,-1,-1,0,0
2022-12-21,63.52,63.98,63.04,63.3,-1,-1,0,0
2022-12-22,63.5,63.94,63.12,63.7,-1,-1,0,0
2022-12-23,63.68,63.72,63.02,63.7,-1,-1,0,0
2022-12-27,64.0,64.26,63.3,63.72,-1,-1,0,0
2022-12-28,63.72,64.64,63.5,63.62,-1,-1,0,0
2022-12-29,63.72,64.5,63.46,64.5,-1,-1,0,0
2022-12-30,64.5,64.6,64.0,64.24,-1,-1,0,0
2023-01-02,64.24,65.0,63.9,64.6,-1,-1,0,0
2023-01-03,64.72,65.82,64.6,65.2,-1,-1,0,0
2023-01-04,64.8,66.36,64.7,65.76,-1,-1,0,0
2023-01-05,65.2,65.62,61.92,62.46,-1,-1,0,0
2023-01-09,63.42,63.64,61.1,62.0,-1,-1,0,0
2023-01-10,61.64,62.54,61.28,62.0,-1,-1,0,0
2023-01-11,62.3,64.04,62.0,62.0,-1,-1,0,0
2023-01-12,62.64,63.38,62.3,63.12,-1,-1,0,0
2023-01-13,63.3,63.38,62.38,62.5,-1,-1,0,0
2023-01-16,62.74,63.58,61.62,63.3,-1,-1,0,0
2023-01-17,63.04,63.34,61.92,62.46,-1,-1,0,0
2023-01-18,62.38,64.08,62.26,63.86,-1,-1,0,0
2023-01-19,62.9,63.68,62.52,63.3,-1,-1,0,0
2023-01-20,63.64,63.96,63.0,63.64,-1,-1,0,0
2023-01-23,63.8,65.22,63.58,64.98,-1,-1,0,0
2023-01-24,65.1,66.2,64.46,64.84,-1,-1,0,0
2023-01-25,64.84,65.5,63.84,64.36,-1,-1,0,0
2023-01-26,65.2,65.6,64.88,65.12,-1,-1,0,0
2023-01-27,65.5,67.6,65.4,67.56,-1,-1,0,0
2023-01-30,67.54,67.54,65.58,65.94,-1,-1,0,0
2023-01-31,65.94,66.06,64.56,64.92,-1,-1,0,0
2023-02-01,64.94,65.82,62.74,62.88,-1,-1,0,0
2023-02-02,63.5,64.18,62.6,63.56,-1,-1,0,0
2023-02-03,63.3,64.0,62.7,63.04,-1,-1,0,0
2023-02-06,63.2,63.54,62.0,62.04,-1,-1,0,0
2023-02-07,62.5,62.66,61.64,62.62,-1,-1,0,0
2023-02-08,63.5,65.12,63.5,64.5,-1,-1,0,0
2023-02-09,64.5,65.12,63.58,64.18,-1,-1,0,0
2023-02-10,63.8,64.0,62.56,63.5,-1,-1,0,0
2023-02-13,63.68,63.98,62.46,63.42,-1,-1,0,0
2023-02-14,63.7,64.0,62.82,63.62,-1,-1,0,0
2023-02-15,63.68,63.8,63.06,63.8,-1,-1,0,0
2023-02-16,63.74,64.48,62.82,63.3,-1,-1,0,0
2023-02-17,63.2,63.7,62.92,63.3,-1,-1,0,0
2023-02-20,63.46,63.62,62.82,63.24,-1,-1,0,0
2023-02-21,63.24,63.58,62.3,62.8,-1,-1,0,0
2023-02-22,62.86,62.9,61.5,62.4,-1,-1,0,0
2023-02-23,62.46,64.32,62.42,64.2,-1,-1,0,0
2023-02-24,64.5,64.92,62.1,62.56,-1,-1,0,0
2023-02-27,62.56,63.22,62.56,63.04,-1,-1,0,0
2023-02-28,63.38,66.86,62.64,66.66,-1,-1,0,0
2023-03-01,66.66,67.6,65.72,66.28,-1,-1,0,0
2023-03-02,65.84,65.84,64.38,65.16,-1,-1,0,0
2023-03-03,65.2,65.82,64.96,65.6,-1,-1,0,0
2023-03-06,66.0,66.48,65.5,66.34,-1,-1,0,0
2023-03-07,65.7,66.06,65.06,65.1,-1,-1,0,0
2023-03-08,64.7,65.3,64.32,65.16,-1,-1,0,0
2023-03-09,64.5,64.92,63.46,63.48,-1,-1,0,0
2023-03-10,63.0,63.04,62.18,62.46,-1,-1,0,0
2023-03-13,62.8,63.0,58.88,59.98,-1,-1,0,0
2023-03-14,59.98,60.26,58.84,59.72,-1,-1,0,0
2023-03-15,59.82,60.0,56.42,56.46,-1,-1,0,0
2023-03-16,57.0,57.26,54.04,55.52,-1,-1,0,0
2023-03-17,56.0,57.36,55.26,55.44,-1,-1,0,0
2023-03-20,55.1,55.92,53.38,55.68,-1,-1,0,0
2023-03-21,56.2,58.28,56.2,57.84,-1,-1,0,0
2023-03-22,58.02,58.34,57.16,57.7,-1,-1,0,0
2023-03-23,57.44,58.14,56.52,57.62,-1,-1,0,0
2023-03-24,57.3,57.44,55.68,56.26,-1,-1,0,0
2023-03-27,57.04,57.4,55.9,56.78,-1,-1,0,0
2023-03-28,57.4,57.66,56.4,56.98,-1,-1,0,0
2023-03-29,57.06,57.46,56.48,56.86,-1,-1,0,0
2023-03-30,57.1,58.7,56.86,58.36,-1,-1,0,0
2023-03-31,58.64,58.94,57.82,58.24,-1,-1,0,0
2023-04-03,58.96,60.9,58.9,59.78,-1,-1,0,0
2023-04-04,60.26,60.54,59.3,59.3,-1,-1,0,0
2023-04-05,59.3,59.5,58.04,58.98,-1,-1,0,0
2023-04-06,58.98,59.38,58.5,58.6,-1,-1,0,0
2023-04-11,59.12,60.74,59.12,60.54,-1,-1,0,0
2023-04-12,60.9,61.46,59.74,61.12,-1,-1,0,0
2023-04-13,60.82,61.4,60.46,61.12,-1,-1,0,0
2023-04-14,61.3,61.72,60.92,61.34,-1,-1,0,0
2023-04-17,61.7,62.58,61.32,61.7,-1,-1,0,0
2023-04-18,61.7,62.8,61.34,62.36,-1,-1,0,0
2023-04-19,62.0,62.0,61.18,61.72,-1,-1,0,0
2023-04-20,61.72,62.46,61.15,61.3,-1,-1,0,0
2023-04-21,60.8,61.65,60.42,61.34,-1,-1,0,0
