Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-28,2.04,2.094,2.022,2.08,36,47,2,1
2022-12-29,2.081,2.113,2.065,2.105,36,47,2,1
2022-12-30,2.101,2.121,2.085,2.119,36,47,2,1
2023-01-02,2.121,2.148,2.11,2.135,36,47,2,1
2023-01-03,2.14,2.198,2.136,2.162,36,47,2,1
2023-01-04,2.162,2.229,2.162,2.206,36,47,2,1
2023-01-05,2.22,2.25,2.196,2.217,36,47,2,1
2023-01-09,2.25,2.276,2.139,2.175,36,47,2,1
2023-01-10,2.171,2.177,2.113,2.143,36,47,2,1
2023-01-11,2.148,2.23,2.138,2.18,36,47,2,1
2023-01-12,2.199,2.31,2.188,2.253,36,47,2,1
2023-01-13,2.28,2.282,2.213,2.229,36,47,2,1
2023-01-16,2.229,2.233,2.165,2.195,36,47,2,1
2023-01-17,2.197,2.217,2.18,2.199,36,47,2,1
2023-01-18,2.199,2.253,2.182,2.214,36,47,2,1
2023-01-19,2.211,2.225,2.161,2.202,36,47,2,1
2023-01-20,2.215,2.221,2.18,2.189,36,47,2,1
2023-01-23,2.191,2.317,2.19,2.31,36,47,2,1
2023-01-24,2.31,2.444,2.31,2.338,36,47,2,1
2023-01-25,2.34,2.348,2.284,2.323,36,47,2,1
2023-01-26,2.339,2.369,2.305,2.334,36,47,2,1
2023-01-27,2.34,2.359,2.291,2.307,36,47,2,1
2023-01-30,2.307,2.331,2.26,2.311,36,47,2,1
2023-01-31,2.325,2.385,2.3,2.36,36,47,2,1
2023-02-01,2.367,2.371,2.231,2.245,36,47,2,1
2023-02-02,2.3,2.318,2.251,2.251,36,47,2,1
2023-02-03,2.252,2.256,2.192,2.198,36,47,2,1
2023-02-06,2.198,2.207,2.156,2.18,36,47,2,1
2023-02-07,2.17,2.199,2.158,2.189,36,47,2,1
2023-02-08,2.198,2.224,2.178,2.206,36,47,2,1
2023-02-09,2.209,2.23,2.186,2.207,36,47,2,1
2023-02-10,2.2,2.208,2.132,2.17,36,47,2,1
2023-02-13,2.174,2.18,2.109,2.125,36,47,2,1
2023-02-14,2.14,2.15,2.101,2.113,36,47,2,1
2023-02-15,2.114,2.14,2.082,2.124,36,47,2,1
2023-02-16,2.138,2.168,2.108,2.156,36,47,2,1
2023-02-17,2.153,2.177,2.132,2.166,36,47,2,1
2023-02-20,2.18,2.187,2.142,2.182,36,47,2,1
2023-02-21,2.17,2.178,2.121,2.136,36,47,2,1
2023-02-22,2.138,2.138,2.07,2.096,36,47,2,1
2023-02-23,2.11,2.168,2.105,2.167,36,47,2,1
2023-02-24,2.17,2.174,2.115,2.138,36,47,2,1
2023-02-27,2.14,2.157,2.102,2.149,36,47,2,1
2023-02-28,2.149,2.155,2.107,2.153,36,47,2,1
2023-03-01,2.122,2.175,2.122,2.148,36,47,2,1
2023-03-02,2.14,2.14,2.06,2.066,36,47,2,1
2023-03-03,2.08,2.088,2.032,2.077,36,47,2,1
2023-03-06,2.08,2.115,2.061,2.085,36,47,2,1
2023-03-07,2.09,2.099,2.061,2.064,36,47,2,1
2023-03-08,2.065,2.067,2.012,2.043,36,47,2,1
2023-03-09,2.048,2.1,2.044,2.096,36,47,2,1
2023-03-10,2.075,2.075,2.004,2.061,36,47,2,1
2023-03-13,2.06,2.083,1.9995,2.028,36,47,2,1
2023-03-14,2.02,2.039,1.9845,2.01,36,47,2,1
2023-03-15,2.02,2.048,1.941,1.944,36,47,2,1
2023-03-16,1.944,1.96,1.8615,1.9475,36,47,2,1
2023-03-17,1.9615,1.9795,1.8805,1.8925,36,47,2,1
2023-03-20,1.8925,1.915,1.842,1.907,36,47,2,1
2023-03-21,1.93,1.989,1.923,1.968,36,47,2,1
2023-03-22,1.979,1.979,1.9305,1.9505,36,47,2,1
2023-03-23,1.9505,1.955,1.9005,1.9475,36,47,2,1
2023-03-24,1.92,1.937,1.884,1.898,36,47,2,1
2023-03-27,1.897,1.9295,1.868,1.883,36,47,2,1
2023-03-28,1.883,1.917,1.8405,1.8495,36,47,2,1
2023-03-29,1.85,1.884,1.818,1.8625,36,47,2,1
2023-03-30,1.898,1.995,1.8805,1.981,36,47,2,1
2023-03-31,1.9725,1.9885,1.927,1.927,36,47,2,1
2023-04-03,1.972,1.9895,1.924,1.944,36,47,2,1
2023-04-04,1.94,1.974,1.932,1.954,36,47,2,1
2023-04-05,1.9535,1.9675,1.9005,1.9125,36,47,2,1
2023-04-06,1.9195,1.93,1.9025,1.92,36,47,2,1
2023-04-11,1.9305,1.962,1.926,1.959,36,47,2,1
2023-04-12,1.962,1.9655,1.925,1.95,36,47,2,1
2023-04-13,1.94,1.9505,1.916,1.9385,36,47,2,1
2023-04-14,1.955,2.106,1.945,2.014,36,47,2,1
2023-04-17,2.05,2.095,1.9995,2.062,36,47,2,1
2023-04-18,2.07,2.101,2.047,2.094,36,47,2,1
2023-04-19,2.089,2.097,2.05,2.061,36,47,2,1
2023-04-20,2.06,2.133,2.06,2.076,36,47,2,1
2023-04-21,2.076,2.091,2.05,2.064,36,47,2,1
2023-04-24,2.058,2.085,2.034,2.077,36,47,2,1
2023-04-25,2.083,2.125,2.058,2.085,36,47,2,1
2023-04-26,2.085,2.104,2.039,2.044,36,47,2,1
