Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-23,3.95,3.95,3.92,3.94,17,24,2,1
2023-03-24,3.94,3.94,3.84,3.85,17,24,2,1
2023-03-27,3.84,3.89,3.84,3.87,17,24,2,1
2023-03-28,3.89,3.93,3.87,3.9,17,24,2,1
2023-03-29,3.9,3.9,3.83,3.83,17,24,2,1
2023-03-30,3.84,3.84,3.8,3.82,17,24,2,1
2023-03-31,3.82,3.84,3.79,3.83,17,24,2,1
2023-04-03,3.83,3.86,3.8,3.82,17,24,2,1
2023-04-04,3.82,3.85,3.8,3.82,17,24,2,1
2023-04-05,3.84,3.84,3.8,3.8,17,24,2,1
2023-04-06,3.81,3.81,3.78,3.78,17,24,2,1
2023-04-11,3.78,3.85,3.78,3.85,17,24,2,1
2023-04-12,3.83,3.83,3.78,3.82,17,24,2,1
2023-04-13,3.82,3.82,3.75,3.82,17,24,2,1
2023-04-14,3.82,3.89,3.78,3.89,17,24,2,1
2023-04-17,3.9,3.91,3.85,3.85,17,24,2,1
2023-04-18,3.85,3.85,3.82,3.85,17,24,2,1
2023-04-19,3.85,3.9,3.85,3.89,17,24,2,1
2023-04-20,3.89,3.89,3.83,3.83,17,24,2,1
2023-04-21,3.83,3.83,3.77,3.8,17,24,2,1
2023-04-24,3.83,3.83,3.8,3.8,17,24,2,1
2023-04-25,3.82,3.82,3.77,3.78,17,24,2,1
2023-04-26,3.8,3.8,3.73,3.78,17,24,2,1
2023-04-27,3.79,3.81,3.69,3.75,17,24,2,1
2023-04-28,3.74,3.74,3.71,3.71,17,24,2,1
2023-05-02,3.72,3.72,3.66,3.7,17,24,2,1
2023-05-04,3.7,3.74,3.68,3.72,17,24,2,1
2023-05-05,3.74,3.74,3.68,3.71,17,24,2,1
2023-05-08,3.71,3.74,3.7,3.74,17,24,2,1
2023-05-09,3.74,3.74,3.7,3.74,17,24,2,1
2023-05-10,3.74,3.74,3.68,3.7,17,24,2,1
2023-05-11,3.71,3.71,3.53,3.55,17,24,2,1
2023-05-12,3.59,3.62,3.59,3.62,17,24,2,1
2023-05-15,3.6,3.65,3.6,3.65,17,24,2,1
2023-05-16,3.66,3.66,3.62,3.65,17,24,2,1
2023-05-17,3.65,3.73,3.65,3.73,17,24,2,1
2023-05-18,3.73,3.74,3.73,3.74,17,24,2,1
2023-05-19,3.75,3.8,3.73,3.78,17,24,2,1
2023-05-22,3.8,3.82,3.76,3.8,17,24,2,1
2023-05-23,3.8,3.82,3.77,3.8,17,24,2,1
2023-05-24,3.8,3.82,3.77,3.79,17,24,2,1
2023-05-25,3.79,3.8,3.77,3.8,17,24,2,1
