Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-22,114.5,115.5,109.5,111.5,-1,-1,0,0
2023-05-23,112.0,116.5,112.0,115.0,-1,-1,0,0
2023-05-24,114.0,114.0,108.5,110.0,-1,-1,0,0
2023-05-25,109.5,112.0,108.5,109.0,-1,-1,0,0
2023-05-26,109.0,128.0,109.0,122.0,-1,-1,0,0
2023-05-29,125.0,132.0,124.5,127.0,-1,-1,0,0
2023-05-30,129.5,129.5,124.0,127.0,-1,-1,0,0
2023-05-31,127.0,127.0,121.5,125.0,-1,-1,0,0
2023-06-01,121.0,137.0,121.0,130.0,-1,-1,0,0
2023-06-02,130.0,136.0,128.0,136.0,-1,-1,0,0
2023-06-05,139.0,161.0,139.0,152.5,-1,-1,0,0
2023-06-06,160.0,165.0,155.5,157.0,-1,-1,0,0
2023-06-07,156.5,158.5,141.5,143.5,-1,-1,0,0
2023-06-09,144.0,151.0,144.0,149.0,-1,-1,0,0
2023-06-12,150.0,151.5,143.5,145.0,-1,-1,0,0
2023-06-13,145.0,147.5,138.0,140.0,-1,-1,0,0
2023-06-14,140.0,151.0,135.0,140.0,-1,-1,0,0
2023-06-15,140.0,151.0,140.0,141.0,-1,-1,0,0
2023-06-16,143.0,147.5,141.0,141.0,-1,-1,0,0
