Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-06-06,338.0,345.0,337.0,344.5,-1,-1,0,0
2023-06-07,345.0,346.5,341.0,345.0,-1,-1,0,0
2023-06-09,347.0,351.0,345.0,351.0,-1,-1,0,0
2023-06-12,350.5,351.0,346.0,346.5,-1,-1,0,0
2023-06-13,347.5,348.5,342.5,346.0,-1,-1,0,0
2023-06-14,346.5,351.0,344.5,348.0,-1,-1,0,0
2023-06-15,348.0,351.0,346.0,348.0,-1,-1,0,0
2023-06-16,351.0,351.5,345.5,351.5,-1,-1,0,0
2023-06-19,351.0,357.5,349.5,354.0,-1,-1,0,0
2023-06-20,354.0,354.0,349.0,349.0,-1,-1,0,0
2023-06-21,348.0,361.5,347.5,361.5,-1,-1,0,0
2023-06-22,358.5,361.0,350.0,353.5,-1,-1,0,0
2023-06-23,351.0,357.0,348.0,355.5,-1,-1,0,0
2023-06-26,354.5,358.0,353.0,354.5,-1,-1,0,0
2023-06-27,354.5,356.5,345.0,349.0,-1,-1,0,0
2023-06-28,350.5,355.0,350.0,354.5,-1,-1,0,0
2023-06-29,355.0,360.0,352.0,360.0,-1,-1,0,0
2023-06-30,360.0,360.0,351.5,359.0,-1,-1,0,0
2023-07-03,359.0,363.0,355.5,358.0,-1,-1,0,0
2023-07-04,360.0,360.5,355.0,358.0,-1,-1,0,0
2023-07-05,356.0,357.5,350.5,351.0,-1,-1,0,0
2023-07-06,351.0,361.0,350.0,360.0,-1,-1,0,0
2023-07-07,359.5,367.0,356.5,366.5,-1,-1,0,0
2023-07-10,368.0,377.0,365.0,372.0,-1,-1,0,0
2023-07-11,372.0,373.0,365.5,366.0,-1,-1,0,0
2023-07-12,366.0,373.0,366.0,370.5,-1,-1,0,0
2023-07-13,373.0,374.5,369.0,372.0,-1,-1,0,0
2023-07-14,373.0,395.0,373.0,392.5,-1,-1,0,0
2023-07-17,392.0,402.0,391.0,398.0,-1,-1,0,0
2023-07-18,398.0,415.5,398.0,415.0,-1,-1,0,0
2023-07-19,415.5,444.0,408.5,440.0,-1,-1,0,0
2023-07-20,439.5,460.0,435.0,453.0,-1,-1,0,0
2023-07-21,452.0,457.5,436.0,450.0,-1,-1,0,0
2023-07-24,450.0,453.0,440.5,443.5,-1,-1,0,0
2023-07-25,444.0,453.5,444.0,450.0,-1,-1,0,0
2023-07-26,451.5,455.5,435.0,437.5,-1,-1,0,0
2023-07-27,435.5,443.5,418.0,418.0,-1,-1,0,0
2023-07-28,419.0,428.0,416.0,422.5,-1,-1,0,0
2023-07-31,418.0,420.0,407.0,412.5,-1,-1,0,0
2023-08-01,413.0,425.5,413.0,419.5,-1,-1,0,0
2023-08-02,418.5,423.5,414.0,416.5,-1,-1,0,0
2023-08-03,423.0,423.0,413.0,415.0,-1,-1,0,0
2023-08-04,418.0,427.5,418.0,424.5,-1,-1,0,0
2023-08-07,424.5,424.5,415.0,416.0,-1,-1,0,0
2023-08-08,415.0,427.5,412.0,423.0,-1,-1,0,0
2023-08-09,424.5,425.0,413.0,416.0,-1,-1,0,0
2023-08-10,416.0,425.0,416.0,419.5,-1,-1,0,0
2023-08-11,453.0,492.5,449.0,486.5,-1,-1,0,0
2023-08-14,483.0,505.0,474.0,498.5,-1,-1,0,0
2023-08-16,498.0,546.0,483.5,488.0,-1,-1,0,0
2023-08-17,489.5,500.0,487.5,494.0,-1,-1,0,0
2023-08-18,494.0,494.5,477.5,483.0,-1,-1,0,0
2023-08-21,477.0,478.0,467.0,474.0,-1,-1,0,0
2023-08-22,470.0,494.0,470.0,487.0,-1,-1,0,0
