Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-02,31.07,31.09,30.59,30.7,-1,-1,0,0
2022-12-05,30.955,31.28,30.87,30.9,-1,-1,0,0
2022-12-06,30.77,30.77,30.49,30.67,-1,-1,0,0
2022-12-07,30.57,30.77,30.47,30.77,-1,-1,0,0
2022-12-08,30.71,30.71,30.32,30.585,-1,-1,0,0
2022-12-09,30.575,30.68,30.38,30.6,-1,-1,0,0
2022-12-12,30.52,31.1,30.375,31.05,-1,-1,0,0
2022-12-13,31.1,31.85,30.795,31.625,-1,-1,0,0
2022-12-14,31.705,31.73,31.415,31.635,-1,-1,0,0
2022-12-15,31.515,31.515,30.7,30.7,-1,-1,0,0
2022-12-16,30.85,31.0,30.53,30.8,-1,-1,0,0
2022-12-19,30.83,31.08,30.81,30.91,-1,-1,0,0
2022-12-20,30.61,31.2,30.55,31.2,-1,-1,0,0
2022-12-21,31.22,31.65,31.01,31.64,-1,-1,0,0
2022-12-22,31.73,31.78,31.42,31.5,-1,-1,0,0
2022-12-23,31.33,31.53,31.3,31.53,-1,-1,0,0
2022-12-27,31.615,31.65,31.225,31.25,-1,-1,0,0
2022-12-28,31.255,31.465,31.11,31.365,-1,-1,0,0
2022-12-29,31.25,31.89,31.25,31.89,-1,-1,0,0
2022-12-30,31.805,31.845,31.565,31.675,-1,-1,0,0
2023-01-02,31.83,32.08,31.6,31.7,-1,-1,0,0
2023-01-03,31.82,32.45,31.75,32.29,-1,-1,0,0
2023-01-04,32.49,32.86,32.31,32.7,-1,-1,0,0
2023-01-05,32.76,33.4,32.63,32.87,-1,-1,0,0
2023-01-09,33.395,33.845,33.23,33.845,-1,-1,0,0
2023-01-10,33.535,34.325,33.5,34.245,-1,-1,0,0
2023-01-11,34.37,34.6,33.83,33.87,-1,-1,0,0
2023-01-12,33.895,34.525,33.895,34.08,-1,-1,0,0
2023-01-13,34.065,34.365,33.755,34.03,-1,-1,0,0
2023-01-16,34.13,34.345,33.69,34.18,-1,-1,0,0
2023-01-17,34.215,34.215,33.545,33.69,-1,-1,0,0
2023-01-18,33.7,34.15,33.53,33.84,-1,-1,0,0
2023-01-19,33.57,33.655,33.055,33.43,-1,-1,0,0
2023-01-20,33.475,33.575,33.25,33.47,-1,-1,0,0
2023-01-23,33.59,34.1,33.59,34.02,-1,-1,0,0
2023-01-24,34.16,34.44,33.825,33.93,-1,-1,0,0
2023-01-25,33.59,33.66,33.205,33.3,-1,-1,0,0
2023-01-26,33.63,33.965,33.475,33.81,-1,-1,0,0
2023-01-27,33.9,34.02,33.79,33.85,-1,-1,0,0
2023-01-30,33.615,33.615,33.275,33.42,-1,-1,0,0
2023-01-31,33.11,33.695,33.105,33.615,-1,-1,0,0
2023-02-01,33.515,33.76,33.08,33.09,-1,-1,0,0
2023-02-02,33.67,33.94,33.31,33.65,-1,-1,0,0
2023-02-03,33.65,33.9,33.5,33.71,-1,-1,0,0
2023-02-06,33.615,33.635,32.885,32.95,-1,-1,0,0
2023-02-07,32.975,33.175,32.9,33.055,-1,-1,0,0
2023-02-08,33.445,33.61,33.255,33.255,-1,-1,0,0
2023-02-09,33.56,33.825,33.42,33.495,-1,-1,0,0
2023-02-10,33.305,33.34,32.46,32.68,-1,-1,0,0
