Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-24,12.55,12.74,12.12,12.3,-1,-1,0,0
2022-11-25,12.652,13.042,12.5,13.01,-1,-1,0,0
2022-11-28,13.0,13.0,12.69,12.9,-1,-1,0,0
2022-11-29,12.71,12.752,12.584,12.7,-1,-1,0,0
2022-11-30,12.95,12.98,12.5,12.7,-1,-1,0,0
2022-12-01,12.79,12.94,12.56,12.94,-1,-1,0,0
2022-12-02,12.94,13.0,12.706,12.99,-1,-1,0,0
2022-12-05,12.9,12.9,12.5,12.5,-1,-1,0,0
2022-12-06,12.76,12.76,12.006,12.488,-1,-1,0,0
2022-12-07,12.458,12.458,11.6,12.156,-1,-1,0,0
2022-12-08,12.158,12.36,12.076,12.19,-1,-1,0,0
2022-12-09,12.126,12.34,12.12,12.2,-1,-1,0,0
2022-12-12,12.2,12.4,12.122,12.32,-1,-1,0,0
2022-12-13,12.3,12.3,12.0,12.29,-1,-1,0,0
2022-12-14,12.06,12.59,12.03,12.458,-1,-1,0,0
2022-12-15,12.454,12.454,12.12,12.32,-1,-1,0,0
2022-12-16,12.32,12.54,12.1,12.2,-1,-1,0,0
2022-12-19,12.8,12.95,12.5,12.942,-1,-1,0,0
2022-12-20,12.94,13.07,12.608,12.612,-1,-1,0,0
2022-12-21,12.946,13.08,12.788,12.9,-1,-1,0,0
2022-12-22,12.988,13.2,12.81,12.89,-1,-1,0,0
2022-12-23,12.91,13.098,12.784,13.098,-1,-1,0,0
2022-12-26,13.098,13.098,13.098,13.098,-1,-1,0,0
2022-12-27,13.0,13.096,12.732,12.74,-1,-1,0,0
2022-12-28,12.7,12.878,12.522,12.87,-1,-1,0,0
2022-12-29,13.0,13.0,12.73,12.994,-1,-1,0,0
2022-12-30,13.078,13.19,12.922,13.1,-1,-1,0,0
2023-01-02,13.1,13.198,12.81,13.08,-1,-1,0,0
2023-01-03,13.08,13.19,12.92,13.178,-1,-1,0,0
2023-01-04,13.188,13.4,13.1,13.37,-1,-1,0,0
2023-01-05,13.17,13.33,13.052,13.326,-1,-1,0,0
2023-01-06,13.326,13.326,13.326,13.326,-1,-1,0,0
2023-01-09,13.48,13.48,13.15,13.42,-1,-1,0,0
2023-01-10,13.44,13.478,13.07,13.1,-1,-1,0,0
2023-01-11,13.324,13.324,12.9,13.086,-1,-1,0,0
2023-01-12,13.08,13.08,12.65,13.0,-1,-1,0,0
2023-01-13,12.66,13.04,12.66,13.04,-1,-1,0,0
2023-01-16,13.04,13.06,12.9,13.038,-1,-1,0,0
2023-01-17,12.92,13.3,12.92,13.18,-1,-1,0,0
2023-01-18,13.1,13.2,13.02,13.03,-1,-1,0,0
2023-01-19,13.154,13.16,12.79,12.83,-1,-1,0,0
2023-01-20,12.83,13.11,12.82,13.11,-1,-1,0,0
2023-01-23,13.12,13.18,12.89,13.174,-1,-1,0,0
2023-01-24,13.168,13.2,12.94,13.2,-1,-1,0,0
2023-01-25,13.12,13.2,13.02,13.19,-1,-1,0,0
2023-01-26,13.12,13.2,13.0,13.2,-1,-1,0,0
2023-01-27,13.19,13.19,13.03,13.082,-1,-1,0,0
2023-01-30,13.1,13.2,13.098,13.17,-1,-1,0,0
2023-01-31,13.106,13.198,13.012,13.198,-1,-1,0,0
2023-02-01,12.86,13.19,12.02,13.098,-1,-1,0,0
2023-02-02,12.62,13.098,12.62,13.068,-1,-1,0,0
2023-02-03,13.06,13.176,12.86,12.9,-1,-1,0,0
2023-02-06,12.9,13.188,12.842,12.982,-1,-1,0,0
2023-02-07,13.05,13.19,12.71,13.154,-1,-1,0,0
2023-02-08,13.19,13.19,12.812,13.092,-1,-1,0,0
2023-02-09,12.862,13.14,12.8,13.1,-1,-1,0,0
2023-02-10,13.08,13.1,12.8,13.08,-1,-1,0,0
2023-02-13,13.1,13.1,12.836,12.998,-1,-1,0,0
2023-02-14,13.0,13.42,12.952,13.198,-1,-1,0,0
2023-02-15,13.348,13.68,13.3,13.574,-1,-1,0,0
2023-02-16,13.57,14.0,13.57,13.88,-1,-1,0,0
