Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-19,13.94,13.98,13.66,13.66,35,48,4,1
2022-08-22,13.68,13.84,13.4,13.4,35,48,4,1
2022-08-23,13.44,13.44,12.82,12.82,35,48,4,1
2022-08-24,13.14,13.2,12.42,12.42,35,48,4,1
2022-08-25,12.56,12.74,12.4,12.52,35,48,4,1
2022-08-26,12.78,12.86,12.5,12.78,35,48,4,1
2022-08-29,12.7,12.7,12.18,12.24,35,48,4,1
2022-08-30,12.26,12.6,12.2,12.38,35,48,4,1
2022-08-31,12.08,12.54,12.08,12.38,35,48,4,1
2022-09-01,12.1,12.22,11.92,12.1,35,48,4,1
2022-09-02,12.08,12.78,12.08,12.48,35,48,4,1
2022-09-05,12.46,13.0,12.36,13.0,35,48,4,1
2022-09-06,12.52,13.4,12.26,12.26,35,48,4,1
2022-09-07,12.96,13.2,12.28,12.4,35,48,4,1
2022-09-08,12.9,12.9,12.12,12.18,35,48,4,1
2022-09-09,12.44,12.44,12.04,12.2,35,48,4,1
2022-09-12,12.32,12.9,12.32,12.32,35,48,4,1
2022-09-13,12.46,12.56,12.1,12.2,35,48,4,1
2022-09-14,12.38,12.38,12.18,12.3,35,48,4,1
2022-09-15,12.0,12.0,11.72,12.0,35,48,4,1
2022-09-16,12.08,12.08,11.82,11.96,35,48,4,1
2022-09-19,12.0,12.06,11.8,12.0,35,48,4,1
2022-09-20,12.0,12.34,12.0,12.0,35,48,4,1
2022-09-21,12.3,12.3,11.9,11.9,35,48,4,1
2022-09-22,11.9,12.3,11.9,11.9,35,48,4,1
2022-09-23,12.28,12.28,11.8,11.8,35,48,4,1
2022-09-26,11.8,12.04,11.5,11.66,35,48,4,1
2022-09-27,11.78,12.0,11.64,12.0,35,48,4,1
2022-09-28,12.0,12.14,11.66,11.9,35,48,4,1
2022-09-29,12.0,12.0,11.62,11.68,35,48,4,1
2022-09-30,11.8,11.8,11.4,11.4,35,48,4,1
2022-10-03,11.64,11.64,11.08,11.2,35,48,4,1
2022-10-04,11.34,11.96,11.34,11.7,35,48,4,1
2022-10-05,11.84,11.84,11.36,11.42,35,48,4,1
2022-10-06,11.5,11.76,11.4,11.6,35,48,4,1
2022-10-07,11.62,11.62,11.4,11.6,35,48,4,1
2022-10-10,11.6,11.6,11.46,11.58,35,48,4,1
2022-10-11,11.56,11.56,11.32,11.48,35,48,4,1
2022-10-12,11.6,11.6,11.5,11.54,35,48,4,1
2022-10-13,11.62,12.2,11.36,11.36,35,48,4,1
2022-10-14,11.64,11.8,11.5,11.5,35,48,4,1
2022-10-17,12.1,12.1,11.64,11.94,35,48,4,1
2022-10-18,12.0,12.1,12.0,12.06,35,48,4,1
2022-10-19,12.1,12.1,11.74,11.88,35,48,4,1
2022-10-20,11.88,11.88,11.66,11.66,35,48,4,1
2022-10-21,12.0,12.0,11.42,11.5,35,48,4,1
2022-10-24,11.5,11.6,11.34,11.4,35,48,4,1
2022-10-25,11.34,11.5,11.3,11.4,35,48,4,1
2022-10-26,11.74,11.74,11.48,11.54,35,48,4,1
2022-10-27,11.6,11.78,11.58,11.78,35,48,4,1
2022-10-28,11.8,11.8,11.56,11.58,35,48,4,1
2022-10-31,11.66,11.68,11.46,11.6,35,48,4,1
2022-11-02,11.66,12.2,11.66,11.98,35,48,4,1
2022-11-03,11.96,12.16,11.9,12.0,35,48,4,1
2022-11-04,12.1,12.5,12.1,12.5,35,48,4,1
2022-11-07,12.62,12.84,12.62,12.64,35,48,4,1
2022-11-08,12.64,12.9,12.62,12.74,35,48,4,1
2022-11-09,12.88,12.9,12.66,12.8,35,48,4,1
2022-11-10,12.76,12.82,12.4,12.74,35,48,4,1
2022-11-14,12.78,13.22,12.66,12.88,35,48,4,1
2022-11-15,13.0,13.3,12.72,13.3,35,48,4,1
2022-11-16,13.3,13.34,13.14,13.3,35,48,4,1
2022-11-17,13.4,13.5,12.84,12.9,35,48,4,1
2022-11-18,13.0,13.32,13.0,13.3,35,48,4,1
2022-11-21,13.4,13.4,13.14,13.26,35,48,4,1
2022-11-22,13.26,13.4,13.02,13.4,35,48,4,1
2022-11-23,13.46,13.5,13.22,13.3,35,48,4,1
2022-11-24,13.16,13.66,13.16,13.66,35,48,4,1
2022-11-25,13.66,13.8,13.18,13.74,35,48,4,1
2022-11-28,13.76,13.76,13.5,13.74,35,48,4,1
2022-11-29,13.54,13.7,13.3,13.68,35,48,4,1
2022-11-30,13.68,13.8,13.4,13.4,35,48,4,1
2022-12-01,13.74,13.74,13.42,13.44,35,48,4,1
2022-12-02,13.62,13.62,13.38,13.44,35,48,4,1
2022-12-05,13.6,13.6,13.0,13.2,35,48,4,1
2022-12-06,13.2,13.2,12.8,12.94,35,48,4,1
2022-12-07,13.16,13.2,12.8,12.8,35,48,4,1
2022-12-08,12.8,12.98,12.7,12.92,35,48,4,1
2022-12-09,12.92,12.92,12.8,12.9,35,48,4,1
2022-12-12,12.9,13.2,12.9,13.14,35,48,4,1
2022-12-13,13.14,13.42,12.98,13.38,35,48,4,1
2022-12-14,13.38,13.64,13.38,13.48,35,48,4,1
2022-12-15,13.48,13.48,13.02,13.24,35,48,4,1
2022-12-16,13.32,13.32,12.82,13.08,35,48,4,1
