Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-01-18,174.0,177.6,170.2,171.6,22,28,4,1
2023-01-19,172.0,172.8,166.0,168.6,22,28,4,1
2023-01-20,169.0,173.8,168.0,171.2,22,28,4,1
2023-01-23,173.8,178.0,173.0,175.8,22,28,4,1
2023-01-24,176.2,178.0,173.4,174.6,22,28,4,1
2023-01-25,174.4,174.4,167.4,172.0,22,28,4,1
2023-01-26,172.0,172.0,170.0,171.0,22,28,4,1
2023-01-27,171.0,172.0,170.0,171.8,22,28,4,1
2023-01-30,172.6,172.6,166.0,166.4,22,28,4,1
2023-01-31,167.0,172.6,165.6,172.6,22,28,4,1
2023-02-01,172.6,175.6,170.6,172.8,22,28,4,1
2023-02-02,174.2,179.8,169.2,171.6,22,28,4,1
2023-02-03,170.4,172.8,170.4,172.8,22,28,4,1
2023-02-06,172.6,172.6,168.2,170.2,22,28,4,1
2023-02-07,169.0,171.6,168.2,168.4,22,28,4,1
2023-02-08,169.0,170.8,169.0,169.2,22,28,4,1
2023-02-09,171.4,174.8,169.2,173.8,22,28,4,1
2023-02-10,173.8,174.6,168.0,171.4,22,28,4,1
2023-02-13,171.4,172.0,163.0,165.4,22,28,4,1
2023-02-14,166.0,169.4,166.0,167.2,22,28,4,1
2023-02-15,166.0,169.4,166.0,168.0,22,28,4,1
2023-02-16,170.0,172.4,165.2,172.0,22,28,4,1
2023-02-17,171.8,171.8,168.4,168.8,22,28,4,1
2023-02-20,170.8,171.0,167.6,167.6,22,28,4,1
2023-02-21,168.4,168.4,163.6,167.4,22,28,4,1
2023-02-22,166.8,166.8,162.2,163.2,22,28,4,1
2023-02-23,165.0,167.2,162.8,166.2,22,28,4,1
2023-02-24,167.8,169.6,162.2,166.0,22,28,4,1
2023-02-27,165.0,168.8,164.6,168.2,22,28,4,1
2023-02-28,168.4,172.8,166.0,170.8,22,28,4,1
2023-03-01,170.8,174.0,170.4,172.6,22,28,4,1
2023-03-02,174.2,174.2,166.8,166.8,22,28,4,1
2023-03-03,169.6,171.8,168.0,170.2,22,28,4,1
2023-03-06,171.8,178.0,170.0,175.0,22,28,4,1
2023-03-07,176.0,176.2,173.8,175.0,22,28,4,1
2023-03-08,173.2,179.2,172.4,173.6,22,28,4,1
2023-03-09,173.0,175.6,172.8,175.0,22,28,4,1
2023-03-10,172.4,172.4,167.2,172.0,22,28,4,1
2023-03-13,168.6,174.8,162.0,164.4,22,28,4,1
2023-03-14,163.8,169.0,160.2,166.0,22,28,4,1
2023-03-15,168.0,169.2,158.4,158.4,22,28,4,1
2023-03-16,159.0,164.0,151.6,157.8,22,28,4,1
2023-03-17,161.4,164.8,155.2,159.2,22,28,4,1
2023-03-20,159.2,160.0,154.0,158.4,22,28,4,1
2023-03-21,158.6,164.8,158.6,160.0,22,28,4,1
2023-03-22,161.0,162.8,157.0,157.0,22,28,4,1
2023-03-23,159.0,161.6,156.6,160.0,22,28,4,1
2023-03-24,161.4,161.4,158.0,158.2,22,28,4,1
2023-03-27,158.4,162.8,158.4,161.0,22,28,4,1
2023-03-28,161.2,169.2,160.6,160.6,22,28,4,1
2023-03-29,162.4,163.8,157.4,157.6,22,28,4,1
