Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-03,30.89,31.73,30.5,31.505,15,20,4,1
2023-02-06,31.035,31.8,30.89,31.125,15,20,4,1
2023-02-07,31.14,31.2,30.365,30.88,15,20,4,1
2023-02-08,31.0,32.025,30.99,31.39,15,20,4,1
2023-02-09,31.48,31.93,31.1,31.24,15,20,4,1
2023-02-10,30.9,30.9,29.235,29.68,15,20,4,1
2023-02-13,29.68,29.845,29.36,29.725,15,20,4,1
2023-02-14,30.0,30.215,29.4,29.565,15,20,4,1
2023-02-15,29.585,29.945,29.36,29.6,15,20,4,1
2023-02-16,29.95,30.01,28.82,29.15,15,20,4,1
2023-02-17,28.8,29.37,28.5,29.03,15,20,4,1
2023-02-20,29.22,29.635,28.615,28.825,15,20,4,1
2023-02-21,28.9,28.9,27.63,27.7,15,20,4,1
2023-02-22,27.615,28.105,27.15,27.99,15,20,4,1
2023-02-23,27.99,29.1,27.99,28.8,15,20,4,1
2023-02-24,28.99,29.08,28.27,28.4,15,20,4,1
2023-02-27,28.4,29.15,28.395,28.8,15,20,4,1
2023-02-28,28.8,29.455,28.43,29.055,15,20,4,1
2023-03-01,29.35,29.355,28.13,28.295,15,20,4,1
2023-03-02,28.01,28.315,27.745,27.825,15,20,4,1
2023-03-03,28.08,28.815,28.0,28.74,15,20,4,1
2023-03-06,29.0,29.18,28.525,28.855,15,20,4,1
2023-03-07,28.9,29.22,28.07,28.29,15,20,4,1
2023-03-08,28.0,28.48,27.825,28.335,15,20,4,1
2023-03-09,28.475,28.475,27.92,28.045,15,20,4,1
2023-03-10,27.355,27.735,27.01,27.39,15,20,4,1
2023-03-13,27.35,27.815,26.315,27.16,15,20,4,1
2023-03-14,27.3,27.735,27.01,27.535,15,20,4,1
2023-03-15,27.655,27.76,26.6,26.925,15,20,4,1
2023-03-16,27.18,27.3,26.35,27.3,15,20,4,1
2023-03-17,27.37,27.7,26.405,26.81,15,20,4,1
2023-03-20,26.8,27.18,26.15,27.1,15,20,4,1
2023-03-21,27.2,27.28,25.86,26.12,15,20,4,1
2023-03-22,26.42,26.72,26.075,26.265,15,20,4,1
2023-03-23,26.44,26.655,25.72,26.38,15,20,4,1
2023-03-24,26.08,26.58,25.91,26.015,15,20,4,1
