Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-24,5.2,5.3,5.15,5.2,40,52,4,1
2023-02-27,5.2,5.25,5.1,5.2,40,52,4,1
2023-02-28,5.15,5.25,5.15,5.25,40,52,4,1
2023-03-01,5.2,5.25,5.15,5.2,40,52,4,1
2023-03-02,5.2,5.25,4.9,5.1,40,52,4,1
2023-03-03,5.1,5.25,5.05,5.15,40,52,4,1
2023-03-06,5.15,5.25,4.98,5.0,40,52,4,1
2023-03-07,5.0,5.1,5.0,5.1,40,52,4,1
2023-03-08,5.0,5.15,5.0,5.15,40,52,4,1
2023-03-09,5.15,5.15,5.05,5.15,40,52,4,1
2023-03-10,5.0,5.1,5.0,5.1,40,52,4,1
2023-03-13,5.05,5.05,4.92,5.0,40,52,4,1
2023-03-14,4.96,5.1,4.92,5.05,40,52,4,1
2023-03-15,5.0,5.05,4.9,4.92,40,52,4,1
2023-03-16,4.98,5.0,4.72,4.88,40,52,4,1
2023-03-17,4.88,4.92,4.82,4.84,40,52,4,1
2023-03-20,4.78,4.86,4.74,4.82,40,52,4,1
2023-03-21,4.84,4.84,4.64,4.74,40,52,4,1
2023-03-22,4.68,4.7,4.6,4.6,40,52,4,1
2023-03-23,4.62,4.78,4.54,4.64,40,52,4,1
2023-03-24,4.6,4.66,4.52,4.6,40,52,4,1
2023-03-27,4.6,4.6,4.5,4.58,40,52,4,1
2023-03-28,4.58,4.64,4.5,4.64,40,52,4,1
2023-03-29,4.64,4.64,4.52,4.56,40,52,4,1
2023-03-30,4.64,4.72,4.58,4.72,40,52,4,1
2023-03-31,4.72,4.74,4.6,4.7,40,52,4,1
2023-04-03,4.62,4.62,4.38,4.5,40,52,4,1
2023-04-04,4.54,4.54,4.4,4.46,40,52,4,1
2023-04-05,4.4,4.46,4.4,4.4,40,52,4,1
2023-04-06,4.48,4.48,4.36,4.42,40,52,4,1
2023-04-11,4.44,4.44,4.34,4.36,40,52,4,1
2023-04-12,4.4,4.4,4.18,4.24,40,52,4,1
2023-04-13,4.24,4.24,4.1,4.14,40,52,4,1
2023-04-14,4.14,4.28,4.12,4.22,40,52,4,1
2023-04-17,4.22,4.26,4.14,4.24,40,52,4,1
2023-04-18,4.24,4.24,4.2,4.24,40,52,4,1
2023-04-19,4.24,4.24,4.18,4.24,40,52,4,1
2023-04-20,4.24,4.375,4.2,4.365,40,52,4,1
2023-04-21,4.355,4.355,4.23,4.345,40,52,4,1
2023-04-24,4.25,4.32,4.205,4.26,40,52,4,1
2023-04-25,4.2,4.235,4.18,4.2,40,52,4,1
2023-04-26,4.235,4.235,4.1,4.16,40,52,4,1
2023-04-27,4.105,4.16,4.02,4.12,40,52,4,1
2023-04-28,4.145,4.145,4.035,4.1,40,52,4,1
2023-05-02,4.055,4.16,4.04,4.11,40,52,4,1
2023-05-04,4.11,4.145,4.055,4.055,40,52,4,1
2023-05-05,4.1,4.135,4.04,4.12,40,52,4,1
2023-05-08,4.065,4.175,4.065,4.15,40,52,4,1
2023-05-09,4.08,4.15,4.08,4.1,40,52,4,1
2023-05-10,4.14,4.175,4.12,4.175,40,52,4,1
2023-05-11,4.07,4.105,4.03,4.08,40,52,4,1
2023-05-12,4.08,4.08,4.0,4.07,40,52,4,1
2023-05-15,4.085,4.09,4.015,4.07,40,52,4,1
2023-05-16,4.025,4.085,3.92,3.96,40,52,4,1
2023-05-17,4.04,4.05,3.89,3.97,40,52,4,1
2023-05-18,3.9,4.0,3.88,3.995,40,52,4,1
2023-05-19,4.0,4.04,3.935,3.94,40,52,4,1
2023-05-22,3.94,3.94,3.86,3.94,40,52,4,1
2023-05-23,3.94,3.94,3.85,3.89,40,52,4,1
2023-05-24,3.94,3.94,3.85,3.91,40,52,4,1
2023-05-25,3.9,3.94,3.86,3.93,40,52,4,1
2023-05-26,3.945,3.95,3.93,3.94,40,52,4,1
2023-05-29,3.95,4.025,3.95,4.025,40,52,4,1
2023-05-30,4.03,4.03,3.92,3.95,40,52,4,1
2023-05-31,3.95,4.0,3.88,3.95,40,52,4,1
2023-06-01,3.99,3.99,3.94,3.97,40,52,4,1
2023-06-02,3.97,4.0,3.97,3.98,40,52,4,1
2023-06-05,4.03,4.635,4.03,4.4,40,52,4,1
2023-06-06,4.4,4.5,4.22,4.34,40,52,4,1
2023-06-07,4.34,4.345,4.2,4.325,40,52,4,1
2023-06-09,4.345,4.345,4.24,4.33,40,52,4,1
2023-06-12,4.33,4.45,4.26,4.4,40,52,4,1
2023-06-13,4.45,4.45,4.365,4.42,40,52,4,1
2023-06-14,4.425,4.425,4.05,4.12,40,52,4,1
2023-06-15,4.21,4.23,4.12,4.225,40,52,4,1
2023-06-16,4.22,4.225,4.12,4.22,40,52,4,1
2023-06-19,4.17,4.17,4.11,4.13,40,52,4,1
