Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-09-09,161.0,164.0,160.4,164.0,16,22,4,1
2022-09-12,164.2,165.0,163.0,165.0,16,22,4,1
2022-09-13,165.8,167.0,160.2,160.2,16,22,4,1
2022-09-14,160.2,162.8,158.6,159.8,16,22,4,1
2022-09-15,160.0,162.0,160.0,160.0,16,22,4,1
2022-09-16,160.0,160.0,154.2,154.2,16,22,4,1
2022-09-19,154.0,158.0,154.0,155.8,16,22,4,1
2022-09-20,157.0,157.6,156.0,157.4,16,22,4,1
2022-09-21,157.6,157.6,151.0,153.0,16,22,4,1
2022-09-22,154.4,154.4,152.4,153.0,16,22,4,1
2022-09-23,154.2,154.2,150.0,151.8,16,22,4,1
2022-09-26,148.2,152.0,147.0,148.0,16,22,4,1
2022-09-27,148.6,155.0,148.6,154.0,16,22,4,1
2022-09-28,153.0,153.2,151.4,153.0,16,22,4,1
2022-09-29,153.2,153.2,145.2,145.2,16,22,4,1
2022-09-30,145.2,150.0,145.2,150.0,16,22,4,1
2022-10-03,152.8,152.8,147.0,147.0,16,22,4,1
2022-10-04,149.0,151.4,148.8,148.8,16,22,4,1
2022-10-05,149.0,151.6,147.0,151.6,16,22,4,1
2022-10-06,151.6,151.6,150.0,151.6,16,22,4,1
2022-10-07,151.6,151.6,148.0,148.0,16,22,4,1
2022-10-10,150.0,150.0,146.0,149.2,16,22,4,1
2022-10-11,149.6,151.4,148.0,150.0,16,22,4,1
2022-10-12,150.0,151.0,148.0,148.0,16,22,4,1
2022-10-13,149.0,149.0,146.4,146.4,16,22,4,1
2022-10-14,148.2,148.2,141.4,141.4,16,22,4,1
2022-10-17,144.0,144.0,136.0,136.0,16,22,4,1
2022-10-18,138.0,140.2,137.0,140.2,16,22,4,1
2022-10-19,140.0,140.8,137.8,139.0,16,22,4,1
2022-10-20,138.8,142.2,138.8,139.6,16,22,4,1
2022-10-21,140.0,142.4,139.0,140.2,16,22,4,1
2022-10-24,142.0,142.0,138.4,141.2,16,22,4,1
2022-10-25,142.0,142.0,138.0,140.4,16,22,4,1
2022-10-26,140.4,141.0,138.0,140.8,16,22,4,1
2022-10-27,141.0,142.6,140.0,141.0,16,22,4,1
2022-10-28,141.0,143.4,139.2,139.2,16,22,4,1
2022-10-31,143.2,143.2,139.6,140.0,16,22,4,1
2022-11-02,141.8,142.6,138.8,142.0,16,22,4,1
2022-11-03,141.8,145.0,141.0,145.0,16,22,4,1
2022-11-04,145.0,151.0,144.0,151.0,16,22,4,1
