Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-14,50.4,50.6,49.8,50.4,-1,-1,0,0
2022-11-15,50.4,50.6,50.0,50.2,-1,-1,0,0
2022-11-16,50.0,50.6,50.0,50.6,-1,-1,0,0
2022-11-17,50.8,51.2,50.0,50.6,-1,-1,0,0
2022-11-18,50.8,50.8,50.2,50.6,-1,-1,0,0
2022-11-21,50.6,50.6,50.2,50.2,-1,-1,0,0
2022-11-22,50.6,50.6,50.0,50.0,-1,-1,0,0
2022-11-23,50.2,50.4,50.2,50.4,-1,-1,0,0
2022-11-24,50.4,50.4,50.0,50.0,-1,-1,0,0
2022-11-25,50.4,50.4,49.9,50.2,-1,-1,0,0
2022-11-28,50.4,50.4,49.8,50.0,-1,-1,0,0
2022-11-29,50.0,50.2,49.9,49.9,-1,-1,0,0
2022-11-30,50.0,50.2,50.0,50.2,-1,-1,0,0
2022-12-01,50.2,50.6,49.8,50.2,-1,-1,0,0
2022-12-02,51.0,51.0,49.8,49.9,-1,-1,0,0
2022-12-05,50.2,50.4,49.8,50.2,-1,-1,0,0
2022-12-06,50.2,50.4,49.9,50.0,-1,-1,0,0
2022-12-07,50.0,50.4,50.0,50.4,-1,-1,0,0
2022-12-08,50.4,50.4,50.0,50.2,-1,-1,0,0
2022-12-09,50.2,50.2,50.0,50.2,-1,-1,0,0
2022-12-12,50.0,50.2,49.9,50.2,-1,-1,0,0
2022-12-13,50.4,53.2,50.0,52.8,-1,-1,0,0
2022-12-14,53.4,53.8,52.4,53.2,-1,-1,0,0
2022-12-15,53.0,53.8,52.6,52.6,-1,-1,0,0
2022-12-16,53.0,55.6,53.0,53.8,-1,-1,0,0
2022-12-19,54.0,55.0,53.6,54.6,-1,-1,0,0
2022-12-20,55.0,56.0,54.6,55.6,-1,-1,0,0
2022-12-21,55.8,57.6,55.6,57.4,-1,-1,0,0
2022-12-22,57.4,58.0,57.0,57.0,-1,-1,0,0
2022-12-23,57.0,57.2,53.0,55.0,-1,-1,0,0
2022-12-27,56.0,56.0,54.0,55.0,-1,-1,0,0
2022-12-28,55.0,55.0,53.2,53.2,-1,-1,0,0
2022-12-29,54.0,54.8,53.8,54.4,-1,-1,0,0
2022-12-30,54.2,54.6,54.0,54.6,-1,-1,0,0
2023-01-02,55.0,58.0,54.8,57.6,-1,-1,0,0
2023-01-03,56.2,57.8,56.2,57.0,-1,-1,0,0
2023-01-04,57.6,59.0,57.0,59.0,-1,-1,0,0
2023-01-05,58.0,59.8,58.0,58.6,-1,-1,0,0
2023-01-09,59.0,60.0,58.0,60.0,-1,-1,0,0
2023-01-10,60.0,60.6,59.2,59.2,-1,-1,0,0
2023-01-11,59.0,59.2,57.4,58.4,-1,-1,0,0
2023-01-12,59.0,60.2,59.0,59.8,-1,-1,0,0
2023-01-13,60.0,60.0,59.0,59.8,-1,-1,0,0
2023-01-16,59.8,61.0,59.6,60.8,-1,-1,0,0
2023-01-17,61.0,61.0,60.0,61.0,-1,-1,0,0
2023-01-18,61.0,61.0,56.6,60.0,-1,-1,0,0
2023-01-19,60.0,60.4,58.4,59.8,-1,-1,0,0
2023-01-20,58.6,59.2,58.6,59.2,-1,-1,0,0
2023-01-23,59.2,60.8,59.0,59.0,-1,-1,0,0
2023-01-24,60.0,60.8,59.4,59.6,-1,-1,0,0
2023-01-25,60.8,60.8,59.4,59.4,-1,-1,0,0
2023-01-26,59.8,59.8,59.4,59.8,-1,-1,0,0
2023-01-27,59.6,59.8,59.6,59.8,-1,-1,0,0
2023-01-30,60.0,60.4,58.0,58.4,-1,-1,0,0
2023-01-31,58.2,58.8,57.8,58.4,-1,-1,0,0
2023-02-01,59.0,59.4,58.0,58.0,-1,-1,0,0
2023-02-02,58.2,59.2,58.0,58.2,-1,-1,0,0
2023-02-03,59.2,59.2,58.2,58.2,-1,-1,0,0
2023-02-06,58.4,60.0,58.0,59.8,-1,-1,0,0
2023-02-07,60.0,60.0,58.4,58.4,-1,-1,0,0
2023-02-08,58.4,59.4,58.2,59.4,-1,-1,0,0
2023-02-09,59.0,59.4,58.8,59.2,-1,-1,0,0
2023-02-10,59.0,59.0,58.4,59.0,-1,-1,0,0
2023-02-13,59.0,59.0,58.0,58.0,-1,-1,0,0
2023-02-14,58.0,58.4,57.0,58.4,-1,-1,0,0
2023-02-15,58.4,58.8,57.2,58.6,-1,-1,0,0
2023-02-16,58.4,58.8,57.8,58.0,-1,-1,0,0
2023-02-17,58.8,58.8,58.4,58.8,-1,-1,0,0
2023-02-20,58.8,63.2,58.8,62.2,-1,-1,0,0
2023-02-21,62.8,62.8,60.2,62.0,-1,-1,0,0
2023-02-22,62.0,62.0,60.0,61.4,-1,-1,0,0
2023-02-23,61.4,62.8,61.0,62.0,-1,-1,0,0
2023-02-24,60.6,63.0,60.6,63.0,-1,-1,0,0
2023-02-27,60.8,62.8,60.8,61.4,-1,-1,0,0
2023-02-28,61.6,62.4,61.4,61.4,-1,-1,0,0
2023-03-01,61.2,63.0,60.8,61.8,-1,-1,0,0
2023-03-02,61.8,62.0,61.0,62.0,-1,-1,0,0
2023-03-03,62.0,62.6,60.8,61.0,-1,-1,0,0
2023-03-06,61.0,63.8,61.0,62.8,-1,-1,0,0
2023-03-07,62.8,62.8,62.0,62.8,-1,-1,0,0
2023-03-08,63.0,63.0,62.0,63.0,-1,-1,0,0
2023-03-09,62.6,67.4,62.6,66.8,-1,-1,0,0
2023-03-10,66.2,67.0,65.2,66.8,-1,-1,0,0
2023-03-13,65.2,65.2,63.4,64.0,-1,-1,0,0
2023-03-14,65.8,67.4,64.4,67.0,-1,-1,0,0
2023-03-15,67.0,67.0,64.2,66.8,-1,-1,0,0
2023-03-16,66.2,66.2,64.0,64.6,-1,-1,0,0
2023-03-17,64.0,64.0,62.8,63.4,-1,-1,0,0
2023-03-20,62.6,62.6,58.0,60.6,-1,-1,0,0
2023-03-21,61.0,63.0,60.6,63.0,-1,-1,0,0
2023-03-22,63.0,63.0,62.0,62.0,-1,-1,0,0
2023-03-23,62.0,63.0,62.0,63.0,-1,-1,0,0
2023-03-24,61.8,61.8,61.6,61.6,-1,-1,0,0
2023-03-27,61.0,62.2,61.0,62.2,-1,-1,0,0
2023-03-28,62.2,62.8,61.4,62.0,-1,-1,0,0
2023-03-29,61.6,62.8,61.0,62.8,-1,-1,0,0
2023-03-30,62.8,63.0,62.8,62.8,-1,-1,0,0
2023-03-31,63.0,65.6,63.0,64.0,-1,-1,0,0
2023-04-03,63.0,64.8,63.0,64.0,-1,-1,0,0
2023-04-04,63.0,63.0,60.2,62.0,-1,-1,0,0
2023-04-05,62.0,62.6,61.4,61.4,-1,-1,0,0
2023-04-06,61.0,62.6,61.0,61.0,-1,-1,0,0
2023-04-11,61.8,62.6,61.0,62.6,-1,-1,0,0
2023-04-12,62.6,62.6,61.2,61.4,-1,-1,0,0
2023-04-13,61.4,62.6,61.4,61.4,-1,-1,0,0
2023-04-14,61.2,62.4,61.0,61.4,-1,-1,0,0
2023-04-17,62.0,62.2,61.0,62.2,-1,-1,0,0
2023-04-18,62.6,62.8,61.0,62.4,-1,-1,0,0
2023-04-19,61.8,62.4,61.2,62.4,-1,-1,0,0
2023-04-20,62.6,62.6,61.8,62.6,-1,-1,0,0
2023-04-21,62.0,62.6,62.0,62.4,-1,-1,0,0
2023-04-24,62.0,62.2,61.6,62.2,-1,-1,0,0
2023-04-25,62.0,62.4,62.0,62.4,-1,-1,0,0
2023-04-26,62.4,62.6,62.0,62.0,-1,-1,0,0
2023-04-27,62.6,62.6,62.0,62.0,-1,-1,0,0
2023-04-28,62.6,62.6,61.8,62.0,-1,-1,0,0
2023-05-02,62.0,62.6,62.0,62.6,-1,-1,0,0
2023-05-04,62.0,63.0,62.0,62.4,-1,-1,0,0
2023-05-05,62.4,62.6,62.0,62.6,-1,-1,0,0
2023-05-08,62.4,63.0,62.2,62.6,-1,-1,0,0
2023-05-09,62.4,62.6,61.0,61.0,-1,-1,0,0
2023-05-10,65.0,66.8,63.8,63.8,-1,-1,0,0
2023-05-11,65.0,65.0,63.4,64.4,-1,-1,0,0
2023-05-12,64.8,65.0,64.0,64.8,-1,-1,0,0
2023-05-15,65.0,65.4,64.8,65.2,-1,-1,0,0
2023-05-16,65.2,65.2,64.4,65.2,-1,-1,0,0
2023-05-17,65.6,66.0,65.4,65.8,-1,-1,0,0
2023-05-18,65.8,66.6,64.8,66.2,-1,-1,0,0
2023-05-19,66.0,66.2,65.0,66.2,-1,-1,0,0
2023-05-22,66.0,66.0,65.6,66.0,-1,-1,0,0
2023-05-23,65.8,67.2,65.4,66.8,-1,-1,0,0
2023-05-24,67.0,67.0,65.6,66.0,-1,-1,0,0
2023-05-25,64.4,65.8,64.4,65.8,-1,-1,0,0
2023-05-26,65.8,65.8,64.2,65.6,-1,-1,0,0
2023-05-29,65.8,65.8,64.6,65.4,-1,-1,0,0
2023-05-30,65.6,67.6,65.0,67.0,-1,-1,0,0
2023-05-31,67.6,67.6,65.0,65.8,-1,-1,0,0
2023-06-01,66.0,66.0,64.6,65.6,-1,-1,0,0
2023-06-02,66.0,67.0,65.6,66.4,-1,-1,0,0
2023-06-05,66.4,66.8,66.0,66.8,-1,-1,0,0
2023-06-06,67.0,69.8,65.6,68.8,-1,-1,0,0
2023-06-07,68.0,71.0,68.0,69.4,-1,-1,0,0
2023-06-09,70.4,70.8,70.0,70.4,-1,-1,0,0
2023-06-12,70.4,71.0,70.2,70.6,-1,-1,0,0
