Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-12-27,263.0,263.2,253.0,255.8,22,32,1,1
2022-12-28,257.6,257.8,254.0,257.0,22,32,1,1
2022-12-29,258.8,261.6,251.2,261.6,22,32,1,1
2022-12-30,261.2,261.6,257.8,259.4,22,32,1,1
2023-01-02,257.8,262.2,255.8,256.0,22,32,1,1
2023-01-03,255.8,269.0,255.2,268.6,22,32,1,1
2023-01-04,269.0,285.2,269.0,282.8,22,32,1,1
2023-01-05,284.0,295.8,281.4,287.0,22,32,1,1
2023-01-09,288.0,297.0,288.0,295.8,22,32,1,1
2023-01-10,294.8,300.4,291.2,298.8,22,32,1,1
2023-01-11,297.4,301.8,292.2,293.0,22,32,1,1
2023-01-12,295.0,301.0,295.0,299.0,22,32,1,1
2023-01-13,297.6,300.6,295.0,297.6,22,32,1,1
2023-01-16,299.0,303.0,295.2,302.6,22,32,1,1
2023-01-17,297.8,302.0,291.6,293.6,22,32,1,1
2023-01-18,294.0,296.0,287.4,291.0,22,32,1,1
2023-01-19,292.8,292.8,280.2,288.2,22,32,1,1
2023-01-20,292.8,292.8,286.0,288.2,22,32,1,1
2023-01-23,292.4,299.0,289.6,294.2,22,32,1,1
2023-01-24,298.2,298.4,291.0,293.2,22,32,1,1
2023-01-25,290.6,290.8,272.8,282.0,22,32,1,1
2023-01-26,285.2,287.4,280.4,284.4,22,32,1,1
2023-01-27,286.6,288.6,280.4,282.4,22,32,1,1
2023-01-30,281.0,284.6,279.2,281.6,22,32,1,1
2023-01-31,281.6,287.8,279.6,287.0,22,32,1,1
2023-02-01,287.0,287.6,278.6,283.0,22,32,1,1
2023-02-02,288.6,290.8,280.0,287.2,22,32,1,1
2023-02-03,288.6,292.0,284.0,290.0,22,32,1,1
2023-02-06,289.6,290.0,281.6,282.6,22,32,1,1
2023-02-07,286.6,287.4,282.6,284.0,22,32,1,1
2023-02-08,285.4,289.8,285.0,286.6,22,32,1,1
2023-02-09,286.6,292.4,286.2,288.8,22,32,1,1
2023-02-10,290.0,290.0,282.0,284.8,22,32,1,1
2023-02-13,290.0,291.4,282.0,285.0,22,32,1,1
2023-02-14,288.8,291.0,284.0,288.0,22,32,1,1
2023-02-15,288.0,291.4,286.8,289.8,22,32,1,1
2023-02-16,290.6,291.2,276.0,289.2,22,32,1,1
2023-02-17,288.2,290.0,285.0,287.2,22,32,1,1
2023-02-20,290.0,290.0,284.6,287.6,22,32,1,1
2023-02-21,289.6,289.6,281.6,285.0,22,32,1,1
2023-02-22,287.0,287.0,278.6,281.2,22,32,1,1
2023-02-23,285.0,285.0,280.0,281.6,22,32,1,1
2023-02-24,284.2,289.2,281.4,285.6,22,32,1,1
2023-02-27,290.0,298.6,287.2,296.6,22,32,1,1
2023-02-28,294.0,301.8,294.0,298.8,22,32,1,1
2023-03-01,296.6,302.2,296.2,300.0,22,32,1,1
2023-03-02,299.8,299.8,284.4,286.2,22,32,1,1
2023-03-03,290.0,294.0,287.0,291.2,22,32,1,1
2023-03-06,291.2,304.8,291.2,302.0,22,32,1,1
2023-03-07,298.2,304.2,295.4,296.0,22,32,1,1
2023-03-08,296.0,301.8,294.0,298.6,22,32,1,1
2023-03-09,292.8,302.2,292.8,298.0,22,32,1,1
2023-03-10,292.0,292.4,285.4,287.2,22,32,1,1
2023-03-13,288.4,290.8,279.4,282.2,22,32,1,1
2023-03-14,283.8,284.6,280.0,281.8,22,32,1,1
2023-03-15,282.0,285.2,279.6,280.0,22,32,1,1
2023-03-16,280.0,282.0,270.4,278.2,22,32,1,1
2023-03-17,280.0,282.0,265.6,270.6,22,32,1,1
