Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-03-13,59151.34,59413.72,59151.34,59413.72,30,39,1,1
2023-03-14,59084.68,59771.34,59084.68,59561.67,30,39,1,1
2023-03-15,58665.75,58665.75,57980.02,57980.02,30,39,1,1
2023-03-16,57865.8,58070.22,57178.92,58070.22,30,39,1,1
2023-03-17,58708.35,58708.35,57430.91,57430.91,30,39,1,1
2023-03-20,56915.62,57602.26,56915.62,57602.26,30,39,1,1
2023-03-21,58460.05,58539.21,58460.05,58470.54,30,39,1,1
2023-03-22,58613.72,58613.72,58122.37,58122.37,30,39,1,1
2023-03-23,57583.26,58101.02,57583.26,58101.02,30,39,1,1
2023-03-24,56929.17,57108.23,56929.17,57108.23,30,39,1,1
2023-03-27,57335.14,57687.05,57335.14,57605.43,30,39,1,1
2023-03-28,58231.89,58231.89,57825.82,57893.26,30,39,1,1
2023-03-29,58247.37,58304.08,58215.11,58304.08,30,39,1,1
2023-03-30,59446.0,59885.38,59446.0,59885.38,30,39,1,1
2023-03-31,60007.63,60007.63,59826.45,59826.45,30,39,1,1
2023-04-03,60737.03,60737.03,60190.94,60278.95,30,39,1,1
2023-04-04,60396.83,60829.32,60261.78,60261.78,30,39,1,1
2023-04-05,60075.29,60075.29,59764.85,59764.85,30,39,1,1
2023-04-06,59728.77,59772.12,59728.77,59750.78,30,39,1,1
2023-04-11,60417.78,60796.13,60417.78,60796.13,30,39,1,1
2023-04-12,60775.39,61558.47,60775.39,61558.47,30,39,1,1
2023-04-13,61706.72,62277.88,61706.72,62277.88,30,39,1,1
2023-04-14,62490.48,62777.31,62490.48,62678.74,30,39,1,1
2023-04-17,62929.62,63074.98,62929.62,63074.98,30,39,1,1
2023-04-18,64112.42,64168.3,63951.98,63951.98,30,39,1,1
2023-04-19,63281.64,64011.78,63281.64,63916.91,30,39,1,1
2023-04-20,64416.16,64416.16,64259.78,64259.78,30,39,1,1
2023-04-21,63886.59,63886.59,63682.04,63873.03,30,39,1,1
2023-04-24,63594.9,64091.99,63594.9,64091.99,30,39,1,1
2023-04-25,63749.88,64109.29,63590.67,63590.67,30,39,1,1
2023-04-26,63565.03,63565.03,63442.16,63442.16,30,39,1,1
2023-04-27,64386.14,65121.46,64386.14,65121.46,30,39,1,1
2023-04-28,64693.15,64693.15,64408.89,64472.67,30,39,1,1
2023-05-02,64605.84,64874.75,64355.6,64355.6,30,39,1,1
2023-05-04,64184.47,64184.47,63332.67,63332.67,30,39,1,1
2023-05-05,63811.24,64172.52,63811.24,64172.52,30,39,1,1
2023-05-08,64634.25,64853.59,64634.25,64642.4,30,39,1,1
2023-05-09,64359.32,64682.32,64359.32,64682.32,30,39,1,1
2023-05-10,64643.19,65647.54,64643.19,65091.59,30,39,1,1
2023-05-11,65248.21,65248.21,64666.06,64666.06,30,39,1,1
2023-05-12,65396.7,65396.7,65231.33,65231.33,30,39,1,1
2023-05-15,65395.63,65395.63,65132.19,65268.74,30,39,1,1
2023-05-16,65595.25,65595.25,65415.58,65517.15,30,39,1,1
2023-05-17,65035.31,65410.02,65035.31,65084.79,30,39,1,1
2023-05-18,65557.93,65557.93,65208.87,65208.87,30,39,1,1
2023-05-19,66140.32,66535.78,66140.32,66535.78,30,39,1,1
2023-05-22,67054.08,67076.4,67029.93,67076.4,30,39,1,1
2023-05-23,67415.03,67415.03,67103.18,67103.18,30,39,1,1
2023-05-24,66260.12,66260.12,65731.04,65731.04,30,39,1,1
2023-05-25,65389.71,65479.24,65271.55,65271.55,30,39,1,1
2023-05-26,65555.73,66420.74,65555.73,66420.74,30,39,1,1
2023-05-29,66313.27,66340.53,66303.18,66303.18,30,39,1,1
2023-05-30,65914.66,65914.66,65394.74,65394.74,30,39,1,1
2023-05-31,64629.71,64629.71,63790.77,63790.77,30,39,1,1
2023-06-01,64361.3,65202.13,64361.3,65202.13,30,39,1,1
2023-06-02,66604.26,67324.7,66604.26,67324.7,30,39,1,1
2023-06-05,68018.92,68018.92,67338.46,67338.46,30,39,1,1
2023-06-06,67641.55,68315.34,67572.72,68315.34,30,39,1,1
2023-06-07,67671.75,67835.0,67671.75,67835.0,30,39,1,1
2023-06-09,68317.87,68454.79,68317.87,68354.07,30,39,1,1
2023-06-12,68574.01,68740.48,68118.1,68118.1,30,39,1,1
2023-06-13,68199.37,68199.37,67437.09,67437.09,30,39,1,1
2023-06-14,68575.29,68892.63,68575.29,68892.63,30,39,1,1
2023-06-15,68457.15,69487.27,68457.15,69487.27,30,39,1,1
2023-06-16,69984.82,69984.82,69635.98,69774.29,30,39,1,1
2023-06-19,69968.85,69968.85,69252.29,69252.29,30,39,1,1
2023-06-20,68937.14,68967.29,68736.26,68736.26,30,39,1,1
2023-06-21,69036.04,69132.86,69036.04,69054.07,30,39,1,1
2023-06-22,69337.61,69337.61,69180.88,69180.88,30,39,1,1
2023-06-23,68839.42,68839.42,68155.43,68155.43,30,39,1,1
