Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-11-16,4.25,4.4,4.13,4.16,67,91,1,1
2022-11-17,4.12,4.17,4.08,4.17,67,91,1,1
2022-11-18,4.14,4.14,4.1,4.13,67,91,1,1
2022-11-21,4.13,4.17,4.1,4.17,67,91,1,1
2022-11-22,4.1,4.15,4.06,4.1,67,91,1,1
2022-11-23,4.1,4.17,4.06,4.14,67,91,1,1
2022-11-24,4.08,4.27,4.03,4.24,67,91,1,1
2022-11-25,4.08,4.22,4.07,4.21,67,91,1,1
2022-11-28,4.22,4.22,4.22,4.22,67,91,1,1
2022-11-29,4.13,4.22,4.07,4.19,67,91,1,1
2022-11-30,4.18,4.27,4.18,4.25,67,91,1,1
2022-12-01,4.11,4.24,4.11,4.14,67,91,1,1
2022-12-02,4.14,4.2,4.06,4.19,67,91,1,1
2022-12-05,4.18,4.18,3.93,4.16,67,91,1,1
2022-12-06,3.97,4.15,3.95,4.11,67,91,1,1
2022-12-07,4.17,4.17,4.16,4.16,67,91,1,1
2022-12-08,4.16,4.16,4.16,4.16,67,91,1,1
2022-12-09,4.16,4.16,4.05,4.1,67,91,1,1
2022-12-12,4.06,4.64,4.06,4.46,67,91,1,1
2022-12-13,4.5,4.66,4.42,4.5,67,91,1,1
2022-12-14,4.58,4.58,4.15,4.35,67,91,1,1
2022-12-15,4.36,4.36,4.22,4.34,67,91,1,1
2022-12-16,4.36,4.49,4.25,4.31,67,91,1,1
2022-12-19,4.31,4.49,4.25,4.25,67,91,1,1
2022-12-20,4.25,4.46,4.17,4.37,67,91,1,1
2022-12-21,4.37,4.38,4.23,4.38,67,91,1,1
2022-12-22,4.38,4.38,4.3,4.33,67,91,1,1
2022-12-23,4.31,4.37,4.27,4.36,67,91,1,1
2022-12-27,4.29,4.35,4.12,4.22,67,91,1,1
2022-12-28,4.26,4.33,4.15,4.26,67,91,1,1
2022-12-29,4.26,4.47,4.26,4.39,67,91,1,1
2022-12-30,4.42,4.49,4.39,4.45,67,91,1,1
2023-01-02,4.48,4.64,4.39,4.64,67,91,1,1
2023-01-03,4.67,4.71,4.5,4.61,67,91,1,1
2023-01-04,4.7,4.7,4.58,4.59,67,91,1,1
2023-01-05,4.54,4.6,4.21,4.43,67,91,1,1
2023-01-09,4.43,4.58,4.43,4.54,67,91,1,1
2023-01-10,4.49,4.55,4.49,4.55,67,91,1,1
2023-01-11,4.53,4.53,4.39,4.45,67,91,1,1
2023-01-12,4.45,5.34,4.45,5.04,67,91,1,1
2023-01-13,5.22,7.1,4.74,7.1,67,91,1,1
2023-01-16,7.6,9.5,7.6,8.02,67,91,1,1
2023-01-17,8.0,8.0,7.38,7.56,67,91,1,1
2023-01-18,7.58,7.98,7.3,7.38,67,91,1,1
2023-01-19,7.38,7.48,7.14,7.2,67,91,1,1
2023-01-20,7.26,9.0,7.22,9.0,67,91,1,1
2023-01-23,9.0,9.94,8.6,8.88,67,91,1,1
2023-01-24,8.9,9.3,8.44,8.56,67,91,1,1
2023-01-25,8.46,8.84,8.42,8.5,67,91,1,1
2023-01-26,8.5,9.24,8.5,8.8,67,91,1,1
2023-01-27,8.76,8.94,8.62,8.72,67,91,1,1
2023-01-30,8.86,8.9,8.3,8.38,67,91,1,1
2023-01-31,8.3,8.48,8.04,8.22,67,91,1,1
