Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-05-19,36.36,36.6,35.32,36.3,39,53,1,1
2023-05-22,36.3,36.3,35.52,35.8,39,53,1,1
2023-05-23,35.34,36.0,32.38,34.4,39,53,1,1
2023-05-24,33.9,34.58,32.7,33.76,39,53,1,1
2023-05-25,33.04,33.48,31.0,31.46,39,53,1,1
2023-05-26,31.0,31.9,29.78,31.54,39,53,1,1
2023-05-29,31.54,32.28,30.9,31.98,39,53,1,1
2023-05-30,32.14,32.16,30.7,31.0,39,53,1,1
2023-05-31,30.72,30.72,29.44,29.7,39,53,1,1
2023-06-01,29.7,30.28,28.28,28.42,39,53,1,1
2023-06-02,28.6,29.28,28.6,29.0,39,53,1,1
2023-06-05,29.0,29.86,28.76,29.58,39,53,1,1
2023-06-06,29.7,30.04,29.26,29.9,39,53,1,1
2023-06-07,29.9,30.42,29.2,30.04,39,53,1,1
2023-06-09,30.08,30.5,29.76,29.82,39,53,1,1
2023-06-12,30.24,30.98,29.92,30.6,39,53,1,1
2023-06-13,30.6,31.94,30.14,31.02,39,53,1,1
2023-06-14,31.0,32.28,31.0,31.96,39,53,1,1
2023-06-15,32.12,32.38,31.62,32.16,39,53,1,1
2023-06-16,32.1,33.48,31.6,32.06,39,53,1,1
2023-06-19,32.26,32.26,30.72,31.26,39,53,1,1
2023-06-20,30.84,32.68,30.5,31.4,39,53,1,1
2023-06-21,31.42,31.68,30.0,30.5,39,53,1,1
2023-06-22,30.52,30.54,28.98,29.56,39,53,1,1
2023-06-23,29.24,29.56,27.38,28.56,39,53,1,1
2023-06-26,28.5,29.06,28.24,29.0,39,53,1,1
2023-06-27,29.3,29.56,28.64,29.18,39,53,1,1
2023-06-28,29.2,29.68,29.0,29.0,39,53,1,1
2023-06-29,29.0,29.52,28.68,29.22,39,53,1,1
2023-06-30,29.08,29.38,28.7,29.04,39,53,1,1
2023-07-03,29.1,29.46,28.9,29.32,39,53,1,1
2023-07-04,29.32,29.7,29.02,29.54,39,53,1,1
2023-07-05,29.86,29.86,28.72,28.76,39,53,1,1
2023-07-06,28.76,28.76,26.98,27.6,39,53,1,1
2023-07-07,27.7,28.38,27.7,27.96,39,53,1,1
2023-07-10,28.0,28.48,27.64,28.28,39,53,1,1
2023-07-11,27.7,28.28,27.5,28.2,39,53,1,1
2023-07-12,28.02,28.36,28.02,28.24,39,53,1,1
2023-07-13,28.4,28.4,28.0,28.16,39,53,1,1
2023-07-14,28.08,28.98,28.02,28.6,39,53,1,1
2023-07-17,28.68,31.26,28.44,30.82,39,53,1,1
2023-07-18,31.08,31.26,29.78,29.94,39,53,1,1
2023-07-19,29.98,30.7,28.7,28.8,39,53,1,1
2023-07-20,28.8,29.24,27.64,28.5,39,53,1,1
2023-07-21,28.6,28.6,27.8,27.98,39,53,1,1
2023-07-24,28.2,28.34,27.5,28.0,39,53,1,1
2023-07-25,28.18,28.28,27.86,28.06,39,53,1,1
2023-07-26,29.3,30.4,29.0,29.38,39,53,1,1
2023-07-27,29.74,30.38,29.06,29.06,39,53,1,1
2023-07-28,29.08,29.6,29.0,29.1,39,53,1,1
2023-07-31,29.34,29.86,29.12,29.58,39,53,1,1
2023-08-01,29.68,29.68,28.96,29.48,39,53,1,1
2023-08-02,29.3,29.44,28.86,29.04,39,53,1,1
2023-08-03,29.04,29.26,29.0,29.16,39,53,1,1
2023-08-04,29.0,29.72,29.0,29.3,39,53,1,1
2023-08-07,29.46,29.46,29.06,29.18,39,53,1,1
2023-08-08,29.06,29.24,28.42,28.58,39,53,1,1
2023-08-09,28.6,29.16,28.6,28.86,39,53,1,1
2023-08-10,28.86,29.4,28.86,29.1,39,53,1,1
2023-08-11,29.26,29.26,28.82,28.98,39,53,1,1
2023-08-14,29.18,29.18,28.8,28.8,39,53,1,1
2023-08-16,28.86,28.86,28.0,28.6,39,53,1,1
2023-08-17,28.86,28.86,28.4,28.6,39,53,1,1
2023-08-18,28.6,28.6,27.6,28.02,39,53,1,1
2023-08-21,28.02,29.16,27.9,27.98,39,53,1,1
2023-08-22,28.0,28.26,27.64,27.64,39,53,1,1
2023-08-23,27.98,27.98,27.14,27.38,39,53,1,1
2023-08-24,27.64,27.94,27.3,27.52,39,53,1,1
2023-08-25,27.46,27.74,27.3,27.64,39,53,1,1
2023-08-28,27.78,28.28,27.48,28.24,39,53,1,1
2023-08-29,28.38,28.38,27.92,28.0,39,53,1,1
2023-08-30,28.34,28.34,27.9,28.16,39,53,1,1
2023-08-31,28.14,28.14,27.86,27.88,39,53,1,1
