Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-30,374.0,374.3,358.8,359.4,38,51,1,1
2022-08-31,357.1,358.0,343.5,343.7,38,51,1,1
2022-09-01,340.0,345.6,328.5,335.5,38,51,1,1
2022-09-02,337.1,343.5,328.0,342.8,38,51,1,1
2022-09-05,340.8,342.5,335.3,339.3,38,51,1,1
2022-09-06,339.3,340.5,327.0,329.7,38,51,1,1
2022-09-07,325.0,342.5,322.0,340.5,38,51,1,1
2022-09-08,339.3,341.5,337.1,339.0,38,51,1,1
2022-09-09,342.8,345.5,329.5,345.1,38,51,1,1
2022-09-12,343.0,353.1,339.5,351.9,38,51,1,1
2022-09-13,352.0,352.4,340.3,342.2,38,51,1,1
2022-09-14,342.6,348.4,340.5,344.2,38,51,1,1
2022-09-15,342.0,357.6,339.0,351.6,38,51,1,1
2022-09-16,348.2,360.5,347.0,350.3,38,51,1,1
2022-09-19,348.2,350.0,340.1,345.2,38,51,1,1
2022-09-20,346.9,350.7,338.0,343.2,38,51,1,1
2022-09-21,345.0,349.5,334.3,346.6,38,51,1,1
2022-09-22,340.8,345.0,336.2,343.1,38,51,1,1
2022-09-23,339.4,339.5,316.8,320.0,38,51,1,1
2022-09-26,317.5,325.0,310.0,321.5,38,51,1,1
2022-09-27,325.4,326.4,316.7,325.4,38,51,1,1
2022-09-28,323.5,323.6,313.1,318.1,38,51,1,1
2022-09-29,320.0,323.5,297.1,303.0,38,51,1,1
2022-09-30,305.0,306.3,294.6,302.0,38,51,1,1
2022-10-03,298.1,301.6,291.1,300.0,38,51,1,1
2022-10-04,305.0,308.0,301.0,307.5,38,51,1,1
2022-10-05,307.7,313.4,307.5,310.0,38,51,1,1
2022-10-06,310.1,313.7,303.8,306.0,38,51,1,1
2022-10-07,307.2,308.5,301.5,302.2,38,51,1,1
2022-10-10,298.2,300.8,288.9,291.9,38,51,1,1
2022-10-11,290.0,292.3,283.3,286.2,38,51,1,1
2022-10-12,286.0,289.9,281.6,288.5,38,51,1,1
2022-10-13,289.0,289.0,283.0,287.0,38,51,1,1
2022-10-14,292.7,297.4,291.0,296.4,38,51,1,1
2022-10-17,295.0,295.0,285.0,289.0,38,51,1,1
2022-10-18,290.0,302.0,285.4,299.2,38,51,1,1
2022-10-19,300.5,300.9,293.1,294.4,38,51,1,1
2022-10-20,296.5,301.9,292.5,300.9,38,51,1,1
2022-10-21,297.4,298.5,289.4,297.4,38,51,1,1
2022-10-24,297.9,310.7,296.0,306.1,38,51,1,1
2022-10-25,309.7,313.8,305.3,308.4,38,51,1,1
2022-10-26,309.0,320.8,309.0,319.1,38,51,1,1
2022-10-27,320.0,320.1,312.5,316.9,38,51,1,1
2022-10-28,313.0,313.0,299.1,302.2,38,51,1,1
2022-10-31,303.0,312.7,301.0,312.2,38,51,1,1
2022-11-02,315.0,325.2,314.3,318.3,38,51,1,1
2022-11-03,315.5,316.4,306.8,310.7,38,51,1,1
2022-11-04,323.1,335.6,320.0,333.1,38,51,1,1
2022-11-07,329.9,338.6,326.4,330.0,38,51,1,1
2022-11-08,331.8,340.9,327.6,340.1,38,51,1,1
2022-11-09,340.0,344.7,334.1,335.2,38,51,1,1
2022-11-10,335.2,343.0,332.6,343.0,38,51,1,1
2022-11-14,343.1,361.3,339.2,355.9,38,51,1,1
2022-11-15,355.1,365.0,353.2,355.8,38,51,1,1
2022-11-16,355.0,357.5,347.5,352.4,38,51,1,1
2022-11-17,355.5,355.5,349.1,351.8,38,51,1,1
2022-11-18,354.8,361.8,349.7,357.0,38,51,1,1
2022-11-21,358.7,360.5,351.2,359.0,38,51,1,1
2022-11-22,359.1,371.8,359.1,368.0,38,51,1,1
2022-11-23,370.0,370.4,361.9,368.8,38,51,1,1
2022-11-24,372.0,375.6,366.2,373.2,38,51,1,1
2022-11-25,373.8,373.8,363.7,371.0,38,51,1,1
2022-11-28,369.8,372.6,367.5,369.0,38,51,1,1
2022-11-29,370.0,372.9,367.0,370.0,38,51,1,1
2022-11-30,371.3,371.3,360.1,363.8,38,51,1,1
2022-12-01,367.6,368.0,358.9,365.1,38,51,1,1
2022-12-02,362.1,364.0,349.0,354.5,38,51,1,1
2022-12-05,354.5,355.7,348.7,350.0,38,51,1,1
2022-12-06,352.3,354.8,344.7,351.4,38,51,1,1
2022-12-07,349.3,353.3,344.5,351.2,38,51,1,1
2022-12-08,351.7,359.0,351.7,357.4,38,51,1,1
2022-12-09,359.4,370.7,358.7,369.1,38,51,1,1
2022-12-12,371.0,379.5,363.2,378.0,38,51,1,1
2022-12-13,375.8,383.3,371.5,377.5,38,51,1,1
2022-12-14,379.3,385.9,375.1,380.7,38,51,1,1
2022-12-15,380.0,383.2,376.2,378.2,38,51,1,1
2022-12-16,378.0,378.5,371.0,376.2,38,51,1,1
2022-12-19,376.0,382.6,373.0,380.3,38,51,1,1
2022-12-20,380.0,386.0,376.7,385.1,38,51,1,1
2022-12-21,385.0,388.4,382.7,387.3,38,51,1,1
2022-12-22,387.3,390.3,381.0,382.0,38,51,1,1
2022-12-23,381.9,384.0,379.1,382.1,38,51,1,1
2022-12-27,387.3,387.3,375.4,376.8,38,51,1,1
2022-12-28,376.8,377.1,371.2,375.0,38,51,1,1
2022-12-29,373.1,378.0,370.6,376.7,38,51,1,1
2022-12-30,375.7,377.4,371.6,375.3,38,51,1,1
2023-01-02,375.3,378.2,368.2,369.2,38,51,1,1
2023-01-03,370.0,370.2,357.0,359.4,38,51,1,1
