Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-04-19,2.6,2.62,2.59,2.605,57,77,1,1
2023-04-20,2.6,2.61,2.58,2.6,57,77,1,1
2023-04-21,2.6,2.6,2.56,2.59,57,77,1,1
2023-04-24,2.59,2.6,2.56,2.59,57,77,1,1
2023-04-25,2.59,2.6,2.55,2.57,57,77,1,1
2023-04-26,2.57,2.58,2.5,2.52,57,77,1,1
2023-04-27,2.55,2.59,2.52,2.55,57,77,1,1
2023-04-28,2.54,2.58,2.51,2.51,57,77,1,1
2023-05-02,2.52,2.55,2.49,2.55,57,77,1,1
2023-05-04,2.54,2.59,2.51,2.59,57,77,1,1
2023-05-05,2.58,2.6,2.56,2.6,57,77,1,1
2023-05-08,2.57,2.62,2.57,2.6,57,77,1,1
2023-05-09,2.6,2.6,2.58,2.6,57,77,1,1
2023-05-10,2.6,2.61,2.57,2.61,57,77,1,1
2023-05-11,2.6,2.63,2.58,2.62,57,77,1,1
2023-05-12,2.6,2.64,2.56,2.64,57,77,1,1
2023-05-15,2.65,2.68,2.62,2.64,57,77,1,1
2023-05-16,2.65,2.66,2.58,2.59,57,77,1,1
2023-05-17,2.6,2.6,2.49,2.55,57,77,1,1
2023-05-18,2.52,2.84,2.52,2.75,57,77,1,1
2023-05-19,2.76,2.76,2.61,2.66,57,77,1,1
2023-05-22,2.69,2.69,2.61,2.63,57,77,1,1
2023-05-23,2.63,2.66,2.61,2.65,57,77,1,1
2023-05-24,2.65,2.66,2.63,2.64,57,77,1,1
2023-05-25,2.64,2.64,2.6,2.63,57,77,1,1
2023-05-26,2.63,2.76,2.63,2.73,57,77,1,1
2023-05-29,2.77,2.82,2.77,2.8,57,77,1,1
2023-05-30,2.8,2.82,2.78,2.81,57,77,1,1
2023-05-31,2.84,2.89,2.74,2.82,57,77,1,1
2023-06-01,2.81,2.86,2.79,2.86,57,77,1,1
2023-06-02,2.86,2.86,2.82,2.85,57,77,1,1
2023-06-05,2.86,2.86,2.78,2.81,57,77,1,1
2023-06-06,2.83,2.83,2.78,2.81,57,77,1,1
2023-06-07,2.78,2.81,2.72,2.77,57,77,1,1
2023-06-09,2.77,2.77,2.72,2.75,57,77,1,1
2023-06-12,2.75,2.75,2.72,2.74,57,77,1,1
2023-06-13,2.75,2.75,2.68,2.72,57,77,1,1
2023-06-14,2.72,2.75,2.69,2.73,57,77,1,1
2023-06-15,2.76,2.76,2.72,2.74,57,77,1,1
2023-06-16,2.72,2.75,2.71,2.74,57,77,1,1
2023-06-19,2.71,2.72,2.67,2.7,57,77,1,1
2023-06-20,2.68,2.7,2.67,2.7,57,77,1,1
2023-06-21,2.67,2.7,2.63,2.66,57,77,1,1
2023-06-22,2.66,2.66,2.61,2.66,57,77,1,1
2023-06-23,2.66,2.66,2.61,2.66,57,77,1,1
2023-06-26,2.63,2.66,2.63,2.64,57,77,1,1
2023-06-27,2.64,2.64,2.62,2.64,57,77,1,1
2023-06-28,2.64,2.69,2.63,2.67,57,77,1,1
2023-06-29,2.69,2.69,2.64,2.68,57,77,1,1
2023-06-30,2.68,2.7,2.66,2.7,57,77,1,1
2023-07-03,2.72,2.8,2.67,2.69,57,77,1,1
2023-07-04,2.69,2.7,2.65,2.68,57,77,1,1
2023-07-05,2.68,2.72,2.66,2.71,57,77,1,1
2023-07-06,2.71,2.71,2.67,2.69,57,77,1,1
2023-07-07,2.69,2.72,2.68,2.68,57,77,1,1
2023-07-10,2.68,2.71,2.68,2.7,57,77,1,1
2023-07-11,2.7,2.72,2.7,2.72,57,77,1,1
2023-07-12,2.72,2.82,2.7,2.82,57,77,1,1
2023-07-13,2.82,2.82,2.74,2.74,57,77,1,1
2023-07-14,2.76,2.78,2.72,2.77,57,77,1,1
2023-07-17,2.78,2.84,2.77,2.81,57,77,1,1
2023-07-18,2.81,2.82,2.73,2.75,57,77,1,1
2023-07-19,2.78,2.78,2.76,2.78,57,77,1,1
2023-07-20,2.78,2.78,2.73,2.75,57,77,1,1
2023-07-21,2.77,2.77,2.7,2.75,57,77,1,1
2023-07-24,2.75,2.77,2.72,2.77,57,77,1,1
2023-07-25,2.77,2.77,2.72,2.75,57,77,1,1
2023-07-26,2.73,2.74,2.71,2.74,57,77,1,1
2023-07-27,2.73,2.74,2.73,2.73,57,77,1,1
2023-07-28,2.73,2.74,2.71,2.73,57,77,1,1
2023-07-31,2.71,2.73,2.7,2.72,57,77,1,1
2023-08-01,2.71,2.72,2.71,2.72,57,77,1,1
2023-08-02,2.71,2.74,2.7,2.74,57,77,1,1
2023-08-03,2.74,2.74,2.65,2.69,57,77,1,1
2023-08-04,2.68,2.74,2.67,2.74,57,77,1,1
2023-08-07,2.73,2.73,2.69,2.72,57,77,1,1
2023-08-08,2.71,2.72,2.69,2.72,57,77,1,1
2023-08-09,2.69,2.72,2.68,2.71,57,77,1,1
2023-08-10,2.68,2.71,2.68,2.69,57,77,1,1
2023-08-11,2.68,2.7,2.66,2.66,57,77,1,1
2023-08-14,2.69,2.69,2.66,2.69,57,77,1,1
2023-08-16,2.69,2.69,2.66,2.66,57,77,1,1
2023-08-17,2.66,2.67,2.65,2.66,57,77,1,1
2023-08-18,2.66,2.67,2.65,2.67,57,77,1,1
2023-08-21,2.68,2.73,2.66,2.7,57,77,1,1
2023-08-22,2.66,2.7,2.65,2.67,57,77,1,1
2023-08-23,2.66,2.66,2.63,2.66,57,77,1,1
2023-08-24,2.66,2.66,2.63,2.63,57,77,1,1
2023-08-25,2.63,2.65,2.61,2.63,57,77,1,1
2023-08-28,2.63,2.63,2.58,2.6,57,77,1,1
2023-08-29,2.59,2.61,2.59,2.6,57,77,1,1
2023-08-30,2.58,2.6,2.56,2.57,57,77,1,1
2023-08-31,2.57,2.6,2.56,2.58,57,77,1,1
