Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2022-08-23,0.781,0.798,0.781,0.798,89,117,1,1
2022-08-24,0.798,0.808,0.778,0.808,89,117,1,1
2022-08-25,0.818,0.838,0.79,0.838,89,117,1,1
2022-08-26,0.84,0.84,0.8,0.839,89,117,1,1
2022-08-29,0.839,0.84,0.79,0.829,89,117,1,1
2022-08-30,0.801,0.801,0.78,0.781,89,117,1,1
2022-08-31,0.829,0.829,0.711,0.749,89,117,1,1
2022-09-01,0.749,0.754,0.72,0.754,89,117,1,1
2022-09-02,0.74,0.757,0.725,0.74,89,117,1,1
2022-09-05,0.724,0.739,0.68,0.707,89,117,1,1
2022-09-06,0.734,0.735,0.71,0.734,89,117,1,1
2022-09-07,0.734,0.77,0.734,0.77,89,117,1,1
2022-09-08,0.75,0.77,0.741,0.765,89,117,1,1
2022-09-09,0.769,0.769,0.731,0.76,89,117,1,1
2022-09-12,0.732,0.767,0.73,0.764,89,117,1,1
2022-09-13,0.759,0.76,0.71,0.745,89,117,1,1
2022-09-14,0.74,0.749,0.721,0.721,89,117,1,1
2022-09-15,0.748,0.765,0.737,0.755,89,117,1,1
2022-09-16,0.755,0.77,0.74,0.74,89,117,1,1
2022-09-19,0.74,0.765,0.738,0.765,89,117,1,1
2022-09-20,0.76,0.769,0.76,0.769,89,117,1,1
2022-09-21,0.767,0.769,0.735,0.757,89,117,1,1
2022-09-22,0.757,0.767,0.722,0.74,89,117,1,1
2022-09-23,0.74,0.757,0.723,0.739,89,117,1,1
2022-09-26,0.739,0.757,0.723,0.723,89,117,1,1
2022-09-27,0.748,0.75,0.725,0.748,89,117,1,1
2022-09-28,0.748,0.775,0.74,0.755,89,117,1,1
2022-09-29,0.755,0.755,0.71,0.728,89,117,1,1
2022-09-30,0.71,0.736,0.68,0.736,89,117,1,1
2022-10-03,0.734,0.734,0.68,0.727,89,117,1,1
2022-10-04,0.725,0.725,0.67,0.702,89,117,1,1
2022-10-05,0.7,0.73,0.692,0.73,89,117,1,1
2022-10-06,0.73,0.73,0.72,0.72,89,117,1,1
2022-10-07,0.702,0.77,0.7,0.77,89,117,1,1
2022-10-10,0.77,0.77,0.72,0.749,89,117,1,1
2022-10-11,0.767,0.769,0.746,0.769,89,117,1,1
2022-10-12,0.71,0.943,0.71,0.8,89,117,1,1
2022-10-13,0.86,0.899,0.8,0.85,89,117,1,1
2022-10-14,0.85,0.852,0.813,0.844,89,117,1,1
2022-10-17,0.81,0.84,0.8,0.83,89,117,1,1
2022-10-18,0.82,0.82,0.79,0.8,89,117,1,1
2022-10-19,0.79,0.79,0.751,0.769,89,117,1,1
2022-10-20,0.75,0.769,0.75,0.751,89,117,1,1
2022-10-21,0.75,0.769,0.734,0.75,89,117,1,1
2022-10-24,0.736,0.748,0.729,0.746,89,117,1,1
2022-10-25,0.746,0.755,0.73,0.74,89,117,1,1
2022-10-26,0.747,0.767,0.735,0.767,89,117,1,1
2022-10-27,0.749,0.761,0.742,0.761,89,117,1,1
2022-10-28,0.76,0.763,0.742,0.763,89,117,1,1
2022-10-31,0.756,0.763,0.726,0.736,89,117,1,1
2022-11-02,0.736,0.748,0.711,0.736,89,117,1,1
2022-11-03,0.743,0.745,0.73,0.745,89,117,1,1
2022-11-04,0.745,0.765,0.741,0.75,89,117,1,1
2022-11-07,0.741,0.762,0.741,0.762,89,117,1,1
2022-11-08,0.745,0.762,0.745,0.762,89,117,1,1
2022-11-09,0.747,0.765,0.73,0.745,89,117,1,1
2022-11-10,0.726,0.755,0.72,0.755,89,117,1,1
2022-11-14,0.725,0.769,0.725,0.76,89,117,1,1
2022-11-15,0.735,0.785,0.735,0.77,89,117,1,1
2022-11-16,0.768,0.779,0.745,0.76,89,117,1,1
2022-11-17,0.746,0.78,0.73,0.738,89,117,1,1
2022-11-18,0.726,0.75,0.726,0.75,89,117,1,1
2022-11-21,0.728,0.73,0.728,0.73,89,117,1,1
2022-11-22,0.73,0.764,0.725,0.737,89,117,1,1
2022-11-23,0.728,0.73,0.727,0.727,89,117,1,1
2022-11-24,0.75,0.86,0.75,0.802,89,117,1,1
2022-11-25,0.802,0.83,0.78,0.811,89,117,1,1
2022-11-28,0.82,0.829,0.786,0.819,89,117,1,1
2022-11-29,0.819,0.84,0.787,0.84,89,117,1,1
2022-11-30,0.84,0.9,0.82,0.84,89,117,1,1
2022-12-01,0.831,0.837,0.797,0.82,89,117,1,1
2022-12-02,0.82,0.82,0.778,0.791,89,117,1,1
2022-12-05,0.8,0.83,0.79,0.818,89,117,1,1
2022-12-06,0.785,0.818,0.785,0.81,89,117,1,1
2022-12-07,0.814,0.816,0.792,0.8,89,117,1,1
2022-12-08,0.795,0.81,0.785,0.81,89,117,1,1
2022-12-09,0.785,0.8,0.772,0.8,89,117,1,1
2022-12-12,0.774,0.808,0.774,0.78,89,117,1,1
2022-12-13,0.775,0.78,0.766,0.78,89,117,1,1
2022-12-14,0.78,0.78,0.74,0.76,89,117,1,1
2022-12-15,0.75,0.785,0.74,0.785,89,117,1,1
2022-12-16,0.76,0.782,0.752,0.769,89,117,1,1
2022-12-19,0.76,0.769,0.752,0.752,89,117,1,1
2022-12-20,0.752,0.779,0.744,0.75,89,117,1,1
2022-12-21,0.76,0.779,0.743,0.777,89,117,1,1
2022-12-22,0.77,0.77,0.753,0.767,89,117,1,1
2022-12-23,0.754,0.77,0.742,0.769,89,117,1,1
2022-12-27,0.75,0.75,0.742,0.743,89,117,1,1
2022-12-28,0.743,0.76,0.74,0.741,89,117,1,1
2022-12-29,0.743,0.771,0.742,0.747,89,117,1,1
2022-12-30,0.75,0.777,0.747,0.777,89,117,1,1
2023-01-02,0.777,0.777,0.74,0.74,89,117,1,1
2023-01-03,0.741,0.768,0.741,0.744,89,117,1,1
2023-01-04,0.745,0.76,0.742,0.742,89,117,1,1
2023-01-05,0.763,0.763,0.742,0.755,89,117,1,1
2023-01-09,0.75,0.766,0.75,0.763,89,117,1,1
2023-01-10,0.752,0.776,0.746,0.75,89,117,1,1
2023-01-11,0.75,0.755,0.745,0.75,89,117,1,1
2023-01-12,0.751,0.76,0.738,0.757,89,117,1,1
2023-01-13,0.739,0.753,0.739,0.74,89,117,1,1
2023-01-16,0.747,0.76,0.747,0.748,89,117,1,1
2023-01-17,0.75,0.752,0.743,0.743,89,117,1,1
2023-01-18,0.749,0.758,0.738,0.758,89,117,1,1
2023-01-19,0.758,0.758,0.742,0.742,89,117,1,1
2023-01-20,0.742,0.759,0.742,0.758,89,117,1,1
2023-01-23,0.759,0.759,0.743,0.758,89,117,1,1
2023-01-24,0.758,0.758,0.744,0.755,89,117,1,1
2023-01-25,0.746,0.755,0.745,0.746,89,117,1,1
2023-01-26,0.746,0.758,0.744,0.744,89,117,1,1
2023-01-27,0.755,0.755,0.736,0.75,89,117,1,1
2023-01-30,0.75,0.75,0.74,0.75,89,117,1,1
2023-01-31,0.742,0.748,0.736,0.74,89,117,1,1
2023-02-01,0.739,0.741,0.739,0.739,89,117,1,1
2023-02-02,0.737,0.74,0.734,0.739,89,117,1,1
2023-02-03,0.74,0.743,0.73,0.739,89,117,1,1
2023-02-06,0.73,0.739,0.728,0.729,89,117,1,1
2023-02-07,0.728,0.73,0.666,0.701,89,117,1,1
2023-02-08,0.7,0.701,0.698,0.698,89,117,1,1
2023-02-09,0.696,0.72,0.696,0.71,89,117,1,1
2023-02-10,0.719,0.729,0.7,0.719,89,117,1,1
2023-02-13,0.71,0.719,0.698,0.71,89,117,1,1
2023-02-14,0.71,0.718,0.703,0.703,89,117,1,1
2023-02-15,0.703,0.716,0.698,0.715,89,117,1,1
2023-02-16,0.701,0.71,0.658,0.697,89,117,1,1
2023-02-17,0.697,0.697,0.671,0.696,89,117,1,1
2023-02-20,0.69,0.69,0.68,0.69,89,117,1,1
2023-02-21,0.689,0.69,0.674,0.678,89,117,1,1
2023-02-22,0.678,0.698,0.676,0.68,89,117,1,1
2023-02-23,0.688,0.688,0.676,0.68,89,117,1,1
2023-02-24,0.681,0.688,0.678,0.678,89,117,1,1
2023-02-27,0.674,0.68,0.67,0.67,89,117,1,1
2023-02-28,0.67,0.679,0.65,0.666,89,117,1,1
2023-03-01,0.677,0.677,0.635,0.665,89,117,1,1
2023-03-02,0.655,0.655,0.635,0.646,89,117,1,1
