Date,Open,High,Low,Close,Start Date,End Date,Pattern,Pattern Present
2023-02-10,15.16,15.4,14.65,14.97,-1,-1,0,0
2023-02-13,15.0,15.08,14.65,14.89,-1,-1,0,0
2023-02-14,14.9,15.09,14.76,14.89,-1,-1,0,0
2023-02-15,14.89,14.9,14.72,14.9,-1,-1,0,0
2023-02-16,14.94,15.08,14.7,15.08,-1,-1,0,0
2023-02-17,15.08,15.08,14.88,14.98,-1,-1,0,0
2023-02-20,15.0,15.0,14.72,14.72,-1,-1,0,0
2023-02-21,14.77,14.83,14.18,14.38,-1,-1,0,0
2023-02-22,14.43,14.47,14.2,14.44,-1,-1,0,0
2023-02-23,14.49,14.64,14.4,14.5,-1,-1,0,0
2023-02-24,14.54,14.65,14.39,14.63,-1,-1,0,0
2023-02-27,14.6,14.92,14.6,14.79,-1,-1,0,0
2023-02-28,14.71,15.01,14.68,14.94,-1,-1,0,0
2023-03-01,14.78,14.96,14.71,14.84,-1,-1,0,0
2023-03-02,14.8,14.87,14.6,14.8,-1,-1,0,0
2023-03-03,14.88,15.1,14.6,14.75,-1,-1,0,0
2023-03-06,14.8,15.35,14.75,15.2,-1,-1,0,0
2023-03-07,15.21,15.25,14.83,14.84,-1,-1,0,0
2023-03-08,14.88,15.02,14.8,14.81,-1,-1,0,0
2023-03-09,15.0,15.0,14.7,14.93,-1,-1,0,0
2023-03-10,14.76,14.77,14.36,14.5,-1,-1,0,0
2023-03-13,14.4,14.62,14.14,14.44,-1,-1,0,0
2023-03-14,14.44,14.59,14.21,14.59,-1,-1,0,0
2023-03-15,14.45,14.6,13.98,14.25,-1,-1,0,0
2023-03-16,14.15,14.38,13.77,14.15,-1,-1,0,0
2023-03-17,14.17,14.28,13.41,13.41,-1,-1,0,0
2023-03-20,13.3,13.84,13.14,13.67,-1,-1,0,0
2023-03-21,13.64,14.05,13.64,13.98,-1,-1,0,0
2023-03-22,13.99,14.1,13.74,13.8,-1,-1,0,0
2023-03-23,13.95,13.95,13.26,13.33,-1,-1,0,0
2023-03-24,13.36,13.48,13.18,13.25,-1,-1,0,0
2023-03-27,13.25,13.75,13.25,13.61,-1,-1,0,0
2023-03-28,14.65,16.11,14.5,15.99,-1,-1,0,0
2023-03-29,15.97,17.87,15.96,17.2,-1,-1,0,0
2023-03-30,17.66,18.7,17.6,18.5,-1,-1,0,0
2023-03-31,18.6,18.7,17.7,18.66,-1,-1,0,0
2023-04-03,18.6,18.8,17.74,18.5,-1,-1,0,0
2023-04-04,18.45,19.38,18.41,19.0,-1,-1,0,0
2023-04-05,19.04,19.05,18.62,18.84,-1,-1,0,0
2023-04-06,18.63,19.2,18.62,18.8,-1,-1,0,0
2023-04-11,18.76,19.0,18.54,18.62,-1,-1,0,0
2023-04-12,18.58,18.94,18.55,18.76,-1,-1,0,0
2023-04-13,18.8,19.17,18.68,18.75,-1,-1,0,0
2023-04-14,18.72,18.83,18.43,18.59,-1,-1,0,0
2023-04-17,18.51,18.65,18.14,18.47,-1,-1,0,0
2023-04-18,18.43,18.71,18.35,18.44,-1,-1,0,0
2023-04-19,18.21,18.29,17.65,17.79,-1,-1,0,0
2023-04-20,17.85,18.52,17.85,18.47,-1,-1,0,0
2023-04-21,18.19,18.68,17.85,18.65,-1,-1,0,0
2023-04-24,18.45,18.54,18.05,18.21,-1,-1,0,0
2023-04-25,18.2,18.2,17.7,17.79,-1,-1,0,0
2023-04-26,17.72,18.81,17.72,18.21,-1,-1,0,0
2023-04-27,18.12,19.07,18.12,18.97,-1,-1,0,0
2023-04-28,18.94,18.98,18.34,18.97,-1,-1,0,0
2023-05-02,18.97,19.18,18.64,18.64,-1,-1,0,0
2023-05-04,18.7,18.91,17.95,17.99,-1,-1,0,0
2023-05-05,17.99,18.49,17.7,18.35,-1,-1,0,0
2023-05-08,18.57,19.5,18.35,19.24,-1,-1,0,0
2023-05-09,19.24,19.38,18.88,19.1,-1,-1,0,0
2023-05-10,19.1,19.24,18.89,19.1,-1,-1,0,0
2023-05-11,18.99,19.6,18.97,19.48,-1,-1,0,0
2023-05-12,18.97,18.99,17.08,17.45,-1,-1,0,0
2023-05-15,17.3,18.49,17.3,18.37,-1,-1,0,0
2023-05-16,18.44,18.8,18.01,18.04,-1,-1,0,0
2023-05-17,18.2,18.54,17.73,17.96,-1,-1,0,0
2023-05-18,18.0,18.26,17.46,17.6,-1,-1,0,0
2023-05-19,17.6,18.16,17.54,18.12,-1,-1,0,0
2023-05-22,18.18,18.4,18.07,18.34,-1,-1,0,0
2023-05-23,18.21,18.4,17.54,17.61,-1,-1,0,0
2023-05-24,17.6,17.7,17.41,17.55,-1,-1,0,0
2023-05-25,17.61,17.63,16.86,17.1,-1,-1,0,0
2023-05-26,17.1,17.3,16.82,17.14,-1,-1,0,0
2023-05-29,17.14,17.18,16.85,17.03,-1,-1,0,0
2023-05-30,17.02,17.59,16.57,17.18,-1,-1,0,0
2023-05-31,17.27,17.27,16.45,16.68,-1,-1,0,0
2023-06-01,16.9,17.82,16.8,17.82,-1,-1,0,0
2023-06-02,17.78,18.29,17.67,18.26,-1,-1,0,0
2023-06-05,18.33,18.48,17.84,18.12,-1,-1,0,0
2023-06-06,17.9,18.26,17.9,18.15,-1,-1,0,0
2023-06-07,18.02,18.07,17.73,17.96,-1,-1,0,0
2023-06-09,18.06,18.06,17.65,18.05,-1,-1,0,0
